instance,model,repeat,budget,N_to_P,P_to_N,covered_P,covered_N,n_N,n_P
Test-1,small,0,40320,0.7058823529411765,0.65,12,13,20,17
Test-1,small,1,40320,0.6666666666666666,0.8235294117647058,14,14,17,21
Test-1,small,2,40320,0.7,0.75,14,15,20,20
Test-1,large,0,40320,0.75,0.4,12,8,20,16
Test-1,large,1,40320,0.75,0.47058823529411764,15,8,17,20
Test-1,large,2,40320,0.6666666666666666,0.8,14,16,20,21
Test-2,small,0,40320,0.3793103448275862,0.6666666666666666,44,54,81,116
Test-2,small,1,40320,0.0,1.0,0,74,74,124
Test-2,small,2,40320,0.0,1.0,0,83,83,92
Test-2,large,0,40320,0.037037037037037035,0.8641975308641975,4,70,81,108
Test-2,large,1,40320,0.0,1.0,0,74,74,117
Test-2,large,2,40320,0.0,0.9879518072289156,0,82,83,123
Test-3,small,0,40320,0.0,1.0,0,68,68,120
Test-3,small,1,40320,0.0,1.0,0,62,62,163
Test-3,small,2,40320,0.0,1.0,0,65,65,107
Test-3,large,0,40320,0.0,1.0,0,68,68,128
Test-3,large,1,40320,0.0,1.0,0,62,62,178
Test-3,large,2,40320,0.0,1.0,0,65,65,99
Test-4,small,0,40320,0.0,1.0,0,92,92,50
Test-4,small,1,40320,0.0,1.0,0,82,82,94
Test-4,small,2,40320,0.0,1.0,0,118,118,87
Test-4,large,0,40320,0.0,1.0,0,92,92,126
Test-4,large,0,120960,0.023809523809523808,0.5528455284552846,3,68,123,126
Test-4,large,1,40320,0.0,1.0,0,82,82,99
Test-4,large,1,120960,0.0,1.0,0,100,100,99
Test-4,large,2,40320,0.0,1.0,0,118,118,109
Test-4,large,2,120960,0.07339449541284404,0.9150943396226415,8,97,106,109
