method,instance,seconds,points
PPO（Train-S）,Test-1,45.00 ± 1.46,19.33 ± 2.08
PPO（Train-L）,Test-1,39.36 ± 0.24,19.00 ± 2.65
NSGA-II（B1；本轮重跑）,Test-1,13.92 ± 0.36,19.00 ± 1.73
PPO（Train-S）,Test-2,184.47 ± 12.02,110.67 ± 16.65
PPO（Train-L）,Test-2,155.54 ± 8.74,116.00 ± 7.55
NSGA-II（B1；本轮重跑）,Test-2,43.22 ± 0.40,79.33 ± 4.73
PPO（Train-S）,Test-3,1403.03 ± 3.76,130.00 ± 29.31
PPO（Train-L）,Test-3,1399.08 ± 0.71,135.00 ± 39.96
NSGA-II（B1；本轮重跑）,Test-3,132.88 ± 1.71,65.00 ± 3.00
PPO（Train-S）,Test-4,4572.62 ± 37.68,77.00 ± 23.64
PPO（Train-L）,Test-4,4966.20 ± 24.14,111.33 ± 13.65
NSGA-II（B1；本轮重跑）,Test-4,721.09 ± 50.45,97.33 ± 18.58
NSGA-II（B2；本轮重跑）,Test-4,2044.25 ± 89.13,109.67 ± 11.93
