instance,instance_id,model,repeat,nsga_budget,P_archive,N_archive,n_P,n_N,b_C,b_R,N_covers_P_count,P_covers_N_count,N_covers_P,P_covers_N,tolerance,status
Test-1,test-Test-1-000--revision-v4,small,0,40320,PPO-Test-1-small-r0-B40320,NSGA-Test-1-r0-B40320,15,16,3132.3504099999996,30.73791672772027,10,7,0.6666666666666666,0.4375,1e-08,valid
Test-1,test-Test-1-000--revision-v4,small,1,40320,PPO-Test-1-small-r1-B40320,NSGA-Test-1-r1-B40320,14,16,3132.3504099999996,30.73791672772027,8,4,0.5714285714285714,0.25,1e-08,valid
Test-1,test-Test-1-000--revision-v4,small,2,40320,PPO-Test-1-small-r2-B40320,NSGA-Test-1-r2-B40320,33,18,3132.3504099999996,30.73791672772027,27,0,0.8181818181818182,0.0,1e-08,valid
Test-1,test-Test-1-000--revision-v4,large,0,40320,PPO-Test-1-large-r0-B40320,NSGA-Test-1-r0-B40320,28,16,3132.3504099999996,30.73791672772027,22,0,0.7857142857142857,0.0,1e-08,valid
Test-1,test-Test-1-000--revision-v4,large,1,40320,PPO-Test-1-large-r1-B40320,NSGA-Test-1-r1-B40320,28,16,3132.3504099999996,30.73791672772027,22,0,0.7857142857142857,0.0,1e-08,valid
Test-1,test-Test-1-000--revision-v4,large,2,40320,PPO-Test-1-large-r2-B40320,NSGA-Test-1-r2-B40320,22,18,3132.3504099999996,30.73791672772027,17,0,0.7727272727272727,0.0,1e-08,valid
Test-2,test-Test-2-000--revision-v4,small,0,40320,PPO-Test-2-small-r0-B40320,NSGA-Test-2-r0-B40320,54,93,8186.401456,123.65244690373447,8,74,0.14814814814814814,0.7956989247311828,1e-08,valid
Test-2,test-Test-2-000--revision-v4,small,1,40320,PPO-Test-2-small-r1-B40320,NSGA-Test-2-r1-B40320,51,87,8186.401456,123.65244690373447,0,87,0.0,1.0,1e-08,valid
Test-2,test-Test-2-000--revision-v4,small,2,40320,PPO-Test-2-small-r2-B40320,NSGA-Test-2-r2-B40320,72,52,8186.401456,123.65244690373447,0,49,0.0,0.9423076923076923,1e-08,valid
Test-2,test-Test-2-000--revision-v4,large,0,40320,PPO-Test-2-large-r0-B40320,NSGA-Test-2-r0-B40320,62,93,8186.401456,123.65244690373447,10,69,0.16129032258064516,0.7419354838709677,1e-08,valid
Test-2,test-Test-2-000--revision-v4,large,1,40320,PPO-Test-2-large-r1-B40320,NSGA-Test-2-r1-B40320,65,87,8186.401456,123.65244690373447,1,85,0.015384615384615385,0.9770114942528736,1e-08,valid
Test-2,test-Test-2-000--revision-v4,large,2,40320,PPO-Test-2-large-r2-B40320,NSGA-Test-2-r2-B40320,60,52,8186.401456,123.65244690373447,0,52,0.0,1.0,1e-08,valid
Test-3,test-Test-3-000--revision-v4,small,0,40320,PPO-Test-3-small-r0-B40320,NSGA-Test-3-r0-B40320,35,63,17769.709608999998,1466.8658061136853,23,0,0.6571428571428571,0.0,1e-08,valid
Test-3,test-Test-3-000--revision-v4,small,1,40320,PPO-Test-3-small-r1-B40320,NSGA-Test-3-r1-B40320,35,80,17769.709608999998,1466.8658061136853,30,0,0.8571428571428571,0.0,1e-08,valid
