archive_id,instance,model,algorithm,repeat,budget,seconds,points,status,strict_feasible_points,terminal_clear_points,preparation_seconds,candidate_attempts,candidate_objective_evaluations,cache_hits,invalid_candidates,operator_failures,invalid_candidate_attempts,ppo_internal_objective_evaluations,return_validation_evaluations,objective_evaluations_total_excluding_preparation
NSGA-Test-1-r0-B40320,Test-1,,NSGA,0,40320,21.046438100049272,16,success,16,16,0.0003003999590873718,40320,3291,37029,1313,1956,1956,0,0,3291
PPO-Test-1-small-r0-B40320,Test-1,small,PPO,0,40320,55.17256199999247,15,success,15,15,0.0004298000130802393,40320,8270,32050,0,15956,0,25645,21,33936
PPO-Test-1-large-r0-B40320,Test-1,large,PPO,0,40320,55.398523100069724,28,success,28,28,0.00036349997390061617,40320,8127,32193,0,15542,0,26059,21,34207
NSGA-Test-1-r1-B40320,Test-1,,NSGA,1,40320,21.70869910006877,16,success,16,16,0.0002997999545186758,40320,3988,36332,1200,1491,1491,0,0,3988
PPO-Test-1-small-r1-B40320,Test-1,small,PPO,1,40320,56.23166210006457,14,success,14,14,0.00037059991154819727,40320,9349,30971,0,16274,0,25327,21,34697
PPO-Test-1-large-r1-B40320,Test-1,large,PPO,1,40320,55.79273420001846,28,success,28,28,0.0004293000092729926,40320,9270,31050,0,15505,0,26096,21,35387
NSGA-Test-1-r2-B40320,Test-1,,NSGA,2,40320,21.278536399942823,18,success,18,18,0.0003066000062972307,40320,3646,36674,1581,3386,3386,0,0,3646
PPO-Test-1-small-r2-B40320,Test-1,small,PPO,2,40320,54.80990560003556,33,success,33,33,0.0005650999955832958,40320,8778,31542,0,15952,0,25649,21,34448
PPO-Test-1-large-r2-B40320,Test-1,large,PPO,2,40320,55.15842439990956,22,success,22,22,0.00036310008727014065,40320,8434,31886,0,15614,0,25987,21,34442
NSGA-Test-2-r0-B40320,Test-2,,NSGA,0,40320,81.89341000001878,93,success,93,93,0.0007616999791935086,40320,26665,13655,6183,6545,6545,0,0,26665
PPO-Test-2-small-r0-B40320,Test-2,small,PPO,0,40320,115.88968050002586,54,success,54,54,0.001380199915729463,40320,22134,18186,0,13351,0,28250,21,50405
PPO-Test-2-large-r0-B40320,Test-2,large,PPO,0,40320,118.58520870003849,62,success,62,62,0.0014078000094741583,40320,22551,17769,0,12311,0,29290,21,51862
NSGA-Test-2-r1-B40320,Test-2,,NSGA,1,40320,74.4781569999177,87,success,87,87,0.0007467999821528792,40320,21131,19189,4814,5708,5708,0,0,21131
PPO-Test-2-small-r1-B40320,Test-2,small,PPO,1,40320,115.54088450002018,51,success,51,51,0.0013801000313833356,40320,22196,18124,0,13322,0,28279,21,50496
PPO-Test-2-large-r1-B40320,Test-2,large,PPO,1,40320,116.48691060009878,65,success,65,65,0.0014547000173479319,40320,22273,18047,0,12511,0,29090,21,51384
NSGA-Test-2-r2-B40320,Test-2,,NSGA,2,40320,75.3354216000298,52,success,52,52,0.0007461999775841832,40320,20808,19512,3289,3587,3587,0,0,20808
PPO-Test-2-small-r2-B40320,Test-2,small,PPO,2,40320,117.60863100003917,72,success,72,72,0.0013804999180138111,40320,22105,18215,0,12971,0,28630,21,50756
PPO-Test-2-large-r2-B40320,Test-2,large,PPO,2,40320,120.90480130002834,60,success,60,60,0.001526899985037744,40320,22721,17599,0,11997,0,29604,21,52346
NSGA-Test-3-r0-B40320,Test-3,,NSGA,0,40320,214.41668889997527,63,success,63,63,0.0037007000064477324,40320,18502,21818,6974,8400,8400,0,0,18502
PPO-Test-3-small-r0-B40320,Test-3,small,PPO,0,40320,281.6071279000025,35,success,35,35,0.004677100107073784,40320,18682,21638,0,18027,0,23574,21,42277
PPO-Test-3-large-r0-B40320,Test-3,large,PPO,0,40320,290.08076290006284,25,success,25,25,0.0040252999169752,40320,19524,20796,0,17124,0,24477,21,44022
NSGA-Test-3-r1-B40320,Test-3,,NSGA,1,40320,223.27317339996807,80,success,80,80,0.004546299926005304,40320,22829,17491,10853,13162,13162,0,0,22829
PPO-Test-3-small-r1-B40320,Test-3,small,PPO,1,40320,283.20553009992,35,success,35,35,0.00461240008007735,40320,19372,20948,0,17415,0,24186,21,43579
PPO-Test-3-large-r1-B40320,Test-3,large,PPO,1,40320,289.1826655000914,45,success,45,45,0.0024667999241501093,40320,18923,21397,0,17684,0,23917,21,42861
NSGA-Test-3-r2-B40320,Test-3,,NSGA,2,40320,200.1523910999531,88,success,88,88,0.0036492999643087387,40320,16778,23542,7962,9971,9971,0,0,16778
PPO-Test-3-small-r2-B40320,Test-3,small,PPO,2,40320,281.88225899997633,35,success,35,35,0.004451100016012788,40320,18992,21328,0,17846,0,23755,21,42768
PPO-Test-3-large-r2-B40320,Test-3,large,PPO,2,40320,286.09277910005767,30,success,30,30,0.004738499992527068,40320,19031,21289,0,17564,0,24037,21,43089
NSGA-Test-4-r0-B40320,Test-4,,NSGA,0,40320,1212.4954690999584,70,success,70,70,0.021096199983730912,40320,25628,14692,3075,3213,3213,0,0,25628
NSGA-Test-4-r0-B120960,Test-4,,NSGA,0,120960,3399.6796694999794,130,success,130,130,0.021096199983730912,120960,75472,45488,10215,10559,10559,0,0,75472
PPO-Test-4-small-r0-B40320,Test-4,small,PPO,0,40320,1756.4506145999767,34,success,34,34,0.022944699972867966,40320,26062,14258,0,9824,0,31777,21,57860
PPO-Test-4-large-r0-B40320,Test-4,large,PPO,0,40320,1822.5171425000299,39,success,39,39,0.02203130000270903,40320,27613,12707,0,8154,0,33447,21,61081
NSGA-Test-4-r1-B40320,Test-4,,NSGA,1,40320,1225.9640961000696,19,success,19,19,0.022881500073708594,40320,25909,14411,3513,3629,3629,0,0,25909
NSGA-Test-4-r1-B120960,Test-4,,NSGA,1,120960,3227.491094200057,120,success,120,120,0.022881500073708594,120960,59884,61076,13869,16809,16809,0,0,59884
PPO-Test-4-small-r1-B40320,Test-4,small,PPO,1,40320,1741.257997400011,48,success,48,48,0.020968699944205582,40320,26031,14289,0,9966,0,31635,21,57687
PPO-Test-4-large-r1-B40320,Test-4,large,PPO,1,40320,1816.1648302000249,27,success,27,27,0.022676800028420985,40320,27346,12974,0,8329,0,33272,21,60639
NSGA-Test-4-r2-B40320,Test-4,,NSGA,2,40320,1228.7877283999696,63,success,63,63,0.014663100009784102,40320,26864,13456,3593,3699,3699,0,0,26864
NSGA-Test-4-r2-B120960,Test-4,,NSGA,2,120960,3436.10218539997,134,success,134,134,0.014663100009784102,120960,75035,45925,10908,11199,11199,0,0,75035
PPO-Test-4-small-r2-B40320,Test-4,small,PPO,2,40320,1731.6732458999613,38,success,38,38,0.02110110002104193,40320,25987,14333,0,9890,0,31711,21,57719
PPO-Test-4-large-r2-B40320,Test-4,large,PPO,2,40320,1791.0670596000273,52,success,52,52,0.013105600024573505,40320,27174,13146,0,8626,0,32975,21,60170
PPO-capacity-70-large-r0-B40320,capacity-70,large,PPO,0,40320,1723.7514280000469,28,success,28,28,0.025635300087742507,40320,24393,15927,0,11484,0,30117,21,54531
