scenario,instance_id,b_C,b_R,solution_id,cost,risk,archive_id,solution_path
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,7f468db3d4e5b381ce0ffaae12d5809272f831ad732186367cc8d2c0b4f0c1bd,34916.597803000026,11309.691628639162,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/7f468db3d4e5b381ce0ffaae12d5809272f831ad732186367cc8d2c0b4f0c1bd.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,a01a7a48307c42f475be918aa9ea02813b1f3baff34dd0d865355500292f95bd,35168.40480300003,11186.421480529143,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/a01a7a48307c42f475be918aa9ea02813b1f3baff34dd0d865355500292f95bd.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,f3511f752995283ae677b6368816c1679d774434876fdda71d0ddc8505429310,35582.67589800003,11146.870175569946,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/f3511f752995283ae677b6368816c1679d774434876fdda71d0ddc8505429310.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,24f41f0b0cb9f93817e46e9f1ee7a3fa11f119a71364da214eb13465c3d54742,35718.87939600002,10327.926913661575,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/24f41f0b0cb9f93817e46e9f1ee7a3fa11f119a71364da214eb13465c3d54742.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,649574e3c4bcff56b95458adb4cd54f3694249bc9e65fb821d5c8bbb2176f24a,35744.82634900001,8974.285956691641,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/649574e3c4bcff56b95458adb4cd54f3694249bc9e65fb821d5c8bbb2176f24a.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,e14c574eec47a0e80e60434c6c5afaeabc304d29a205140e6b8e8e84024e084e,35770.487097000005,8631.104113721925,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/e14c574eec47a0e80e60434c6c5afaeabc304d29a205140e6b8e8e84024e084e.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,61e1d802f8aecf46da0826f9a6b7b846b09c3d991d4074369f522038380c4c4d,36160.68901600002,8447.429975016756,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/61e1d802f8aecf46da0826f9a6b7b846b09c3d991d4074369f522038380c4c4d.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,96f1f0ee6cb74bc746b29f91a84f49bc878ce2ba5fe877e6c116e9e81d4dd2e9,36261.93300600002,7270.723367619426,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/96f1f0ee6cb74bc746b29f91a84f49bc878ce2ba5fe877e6c116e9e81d4dd2e9.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,4fb4a6f390c284e31b30d2ec060c42100fd2bc624055d4650d5bdb97b5bc355b,36573.56100600002,7253.467282626684,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/4fb4a6f390c284e31b30d2ec060c42100fd2bc624055d4650d5bdb97b5bc355b.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,a1f3a0f28c05ff982e25822ef8d07de6a8cb95858e9952404ca93058e104b4b2,36586.603519000004,4663.557303520598,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/a1f3a0f28c05ff982e25822ef8d07de6a8cb95858e9952404ca93058e104b4b2.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,29074b26d60b047c93cefffa5e4ac1241792006904affbdbd7a9590570a51e3d,36710.586070000005,4627.369404592713,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/29074b26d60b047c93cefffa5e4ac1241792006904affbdbd7a9590570a51e3d.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,1304440d12d400d4e22728d1fc8b1efcb82cca0a33822e5c3145e3ff6dd71c7d,36710.800003,4610.578948748348,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/1304440d12d400d4e22728d1fc8b1efcb82cca0a33822e5c3145e3ff6dd71c7d.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,a0b4be97594e7b6d17f8d9f0271f8247c550ab2853533a7ac4ed2972880903ab,36725.866918,4596.720449581045,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/a0b4be97594e7b6d17f8d9f0271f8247c550ab2853533a7ac4ed2972880903ab.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,e7d1be50dd9cf17b7f6812f1919b7e4baeade38a1f19517b79ff5b896fd1e88f,36762.595918,4596.066666677609,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/e7d1be50dd9cf17b7f6812f1919b7e4baeade38a1f19517b79ff5b896fd1e88f.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,325a575c28a6f362c242b13487142d889fca12c426b516a683e1ed0236492cfc,37051.312917999996,4589.704146914068,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/325a575c28a6f362c242b13487142d889fca12c426b516a683e1ed0236492cfc.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,277ca6f2f1a5a7ee764c0119e04195841c0f7333e24baeacd2a77e0ef35cbf75,37164.97891800001,4095.288678035187,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/277ca6f2f1a5a7ee764c0119e04195841c0f7333e24baeacd2a77e0ef35cbf75.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,bc6f091e6b31bcba95b7e8e9633f31de527755d071313fbd6fb723558f842830,39346.59501000002,3796.6066749295733,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/bc6f091e6b31bcba95b7e8e9633f31de527755d071313fbd6fb723558f842830.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,cab8b6077b5308e5b85a541613dadeef0cccfd893fe5e8219d19a86cf16dcc5d,39350.773284000024,3780.1336707816617,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/cab8b6077b5308e5b85a541613dadeef0cccfd893fe5e8219d19a86cf16dcc5d.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,e41e672e913937cb39db73b54ca2883dc9ca089c700d289bee13c8fbd00803f8,39537.884010000016,3777.432326498359,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/e41e672e913937cb39db73b54ca2883dc9ca089c700d289bee13c8fbd00803f8.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,73eeebd8802b90a5aab914b3eb2ba0dbe2ffc2f0f0f14832c4d7cd511b65fd49,39553.22609200001,2974.3982077403566,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/73eeebd8802b90a5aab914b3eb2ba0dbe2ffc2f0f0f14832c4d7cd511b65fd49.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,f78b2c166b65ff54c3d92dfa4fb6081ce5ecea780aa7c19eb9694475bf7a044e,39736.894381000006,2955.5530649118464,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/f78b2c166b65ff54c3d92dfa4fb6081ce5ecea780aa7c19eb9694475bf7a044e.json
