instance,instance_id,model,repeat,nsga_budget,P_archive,N_archive,n_P,n_N,b_C,b_R,N_covers_P_count,P_covers_N_count,N_covers_P,P_covers_N,tolerance,status
Test-1,test-Test-1-000--revision-v4,small,0,40320,PPO-Test-1-small-r0-B252000,NSGA-Test-1-r0-B40320,17,16,3132.3504099999996,30.73791672772027,12,9,0.7058823529411765,0.5625,1e-08,valid
Test-1,test-Test-1-000--revision-v4,small,1,40320,PPO-Test-1-small-r1-B252000,NSGA-Test-1-r1-B40320,21,16,3132.3504099999996,30.73791672772027,13,13,0.6190476190476191,0.8125,1e-08,valid
Test-1,test-Test-1-000--revision-v4,small,2,40320,PPO-Test-1-small-r2-B252000,NSGA-Test-1-r2-B40320,20,18,3132.3504099999996,30.73791672772027,12,13,0.6,0.7222222222222222,1e-08,valid
Test-1,test-Test-1-000--revision-v4,large,0,40320,PPO-Test-1-large-r0-B252000,NSGA-Test-1-r0-B40320,16,16,3132.3504099999996,30.73791672772027,10,8,0.625,0.5,1e-08,valid
Test-1,test-Test-1-000--revision-v4,large,1,40320,PPO-Test-1-large-r1-B252000,NSGA-Test-1-r1-B40320,20,16,3132.3504099999996,30.73791672772027,14,7,0.7,0.4375,1e-08,valid
Test-1,test-Test-1-000--revision-v4,large,2,40320,PPO-Test-1-large-r2-B252000,NSGA-Test-1-r2-B40320,21,18,3132.3504099999996,30.73791672772027,14,14,0.6666666666666666,0.7777777777777778,1e-08,valid
Test-2,test-Test-2-000--revision-v4,small,0,40320,PPO-Test-2-small-r0-B252000,NSGA-Test-2-r0-B40320,116,93,8186.401456,123.65244690373447,43,56,0.3706896551724138,0.6021505376344086,1e-08,valid
Test-2,test-Test-2-000--revision-v4,small,1,40320,PPO-Test-2-small-r1-B252000,NSGA-Test-2-r1-B40320,124,87,8186.401456,123.65244690373447,0,87,0.0,1.0,1e-08,valid
Test-2,test-Test-2-000--revision-v4,small,2,40320,PPO-Test-2-small-r2-B252000,NSGA-Test-2-r2-B40320,92,52,8186.401456,123.65244690373447,1,45,0.010869565217391304,0.8653846153846154,1e-08,valid
Test-2,test-Test-2-000--revision-v4,large,0,40320,PPO-Test-2-large-r0-B252000,NSGA-Test-2-r0-B40320,108,93,8186.401456,123.65244690373447,3,82,0.027777777777777776,0.8817204301075269,1e-08,valid
Test-2,test-Test-2-000--revision-v4,large,1,40320,PPO-Test-2-large-r1-B252000,NSGA-Test-2-r1-B40320,117,87,8186.401456,123.65244690373447,0,87,0.0,1.0,1e-08,valid
Test-2,test-Test-2-000--revision-v4,large,2,40320,PPO-Test-2-large-r2-B252000,NSGA-Test-2-r2-B40320,123,52,8186.401456,123.65244690373447,0,51,0.0,0.9807692307692307,1e-08,valid
Test-3,test-Test-3-000--revision-v4,small,0,40320,PPO-Test-3-small-r0-B252000,NSGA-Test-3-r0-B40320,120,63,17769.709608999998,1466.8658061136853,0,63,0.0,1.0,1e-08,valid
Test-3,test-Test-3-000--revision-v4,small,1,40320,PPO-Test-3-small-r1-B252000,NSGA-Test-3-r1-B40320,163,80,17769.709608999998,1466.8658061136853,0,80,0.0,1.0,1e-08,valid
Test-3,test-Test-3-000--revision-v4,small,2,40320,PPO-Test-3-small-r2-B252000,NSGA-Test-3-r2-B40320,107,88,17769.709608999998,1466.8658061136853,0,88,0.0,1.0,1e-08,valid
Test-3,test-Test-3-000--revision-v4,large,0,40320,PPO-Test-3-large-r0-B252000,NSGA-Test-3-r0-B40320,128,63,17769.709608999998,1466.8658061136853,0,63,0.0,1.0,1e-08,valid
Test-3,test-Test-3-000--revision-v4,large,1,40320,PPO-Test-3-large-r1-B252000,NSGA-Test-3-r1-B40320,178,80,17769.709608999998,1466.8658061136853,0,80,0.0,1.0,1e-08,valid
Test-3,test-Test-3-000--revision-v4,large,2,40320,PPO-Test-3-large-r2-B252000,NSGA-Test-3-r2-B40320,99,88,17769.709608999998,1466.8658061136853,0,88,0.0,1.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,small,0,40320,PPO-Test-4-small-r0-B252000,NSGA-Test-4-r0-B40320,50,70,51700.426665000006,15393.350068342135,0,70,0.0,1.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,small,1,40320,PPO-Test-4-small-r1-B252000,NSGA-Test-4-r1-B40320,94,19,51700.426665000006,15393.350068342135,0,19,0.0,1.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,small,2,40320,PPO-Test-4-small-r2-B252000,NSGA-Test-4-r2-B40320,87,63,51700.426665000006,15393.350068342135,0,63,0.0,1.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,large,0,40320,PPO-Test-4-large-r0-B252000,NSGA-Test-4-r0-B40320,126,70,51700.426665000006,15393.350068342135,0,70,0.0,1.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,large,1,40320,PPO-Test-4-large-r1-B252000,NSGA-Test-4-r1-B40320,99,19,51700.426665000006,15393.350068342135,0,19,0.0,1.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,large,2,40320,PPO-Test-4-large-r2-B252000,NSGA-Test-4-r2-B40320,109,63,51700.426665000006,15393.350068342135,0,63,0.0,1.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,large,0,120960,PPO-Test-4-large-r0-B252000,NSGA-Test-4-r0-B120960,126,130,51700.426665000006,15393.350068342135,0,130,0.0,1.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,large,1,120960,PPO-Test-4-large-r1-B252000,NSGA-Test-4-r1-B120960,99,120,51700.426665000006,15393.350068342135,0,120,0.0,1.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,large,2,120960,PPO-Test-4-large-r2-B252000,NSGA-Test-4-r2-B120960,109,134,51700.426665000006,15393.350068342135,0,134,0.0,1.0,1e-08,valid
