archive_id,instance,model,algorithm,repeat,budget,run_origin,execution_workers,execution_workers_scope,seconds,points,status,strict_feasible_points,terminal_clear_points,preparation_seconds,candidate_attempts,candidate_objective_evaluations,cache_hits,invalid_candidates,operator_failures,invalid_candidate_attempts,ppo_internal_objective_evaluations,return_validation_evaluations,preference_initialization_evaluations,objective_evaluations_total_excluding_preparation
NSGA-Test-1-r0-B40320,Test-1,,NSGA,0,40320,v4_reused,16,historical_batch,21.046438100049272,16,success,16,16,0.0003003999590873718,40320,3291,37029,1313,1956,1956,0,0,0,3291
PPO-Test-1-small-r0-B252000,Test-1,small,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,44.933128699994995,17,success,17,17,0.0006020000000717118,27461,4554,12756,186,10151,576,0,21,21,4596
PPO-Test-1-large-r0-B252000,Test-1,large,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,39.57431089998863,16,success,16,16,0.0003876999981002882,24086,3603,14262,206,6221,1424,0,21,21,3645
NSGA-Test-1-r1-B40320,Test-1,,NSGA,1,40320,v4_reused,16,historical_batch,21.70869910006877,16,success,16,16,0.0002997999545186758,40320,3988,36332,1200,1491,1491,0,0,0,3988
PPO-Test-1-small-r1-B252000,Test-1,small,PPO,1,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,46.48944270001084,21,success,21,21,0.0005873000045539811,28784,5054,13045,293,10685,720,0,21,21,5096
PPO-Test-1-large-r1-B252000,Test-1,large,PPO,1,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,39.10697800001071,20,success,20,20,0.0003647999983513728,24150,3574,14229,225,6347,1323,0,21,21,3616
NSGA-Test-1-r2-B40320,Test-1,,NSGA,2,40320,v4_reused,16,historical_batch,21.278536399942823,18,success,18,18,0.0003066000062972307,40320,3646,36674,1581,3386,3386,0,0,0,3646
PPO-Test-1-small-r2-B252000,Test-1,small,PPO,2,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,43.56246570000076,20,success,20,20,0.00039009998727124184,26959,4545,12797,156,9617,634,0,21,21,4587
PPO-Test-1-large-r2-B252000,Test-1,large,PPO,2,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,39.41299679999065,21,success,21,21,0.00037599999632220715,24225,3558,14182,197,6485,1504,0,21,21,3600
NSGA-Test-2-r0-B40320,Test-2,,NSGA,0,40320,v4_reused,16,historical_batch,81.89341000001878,93,success,93,93,0.0007616999791935086,40320,26665,13655,6183,6545,6545,0,0,0,26665
PPO-Test-2-small-r0-B252000,Test-2,small,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,182.49606240000867,116,success,116,116,0.0008516000089002773,66840,38567,13973,3641,14300,5715,0,21,21,38609
PPO-Test-2-large-r0-B252000,Test-2,large,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,150.21377500001108,108,success,108,108,0.0008433000039076433,54301,34319,12544,2365,7438,3219,0,21,21,34361
NSGA-Test-2-r1-B40320,Test-2,,NSGA,1,40320,v4_reused,16,historical_batch,74.4781569999177,87,success,87,87,0.0007467999821528792,40320,21131,19189,4814,5708,5708,0,0,0,21131
