archive_id,instance,model,repeat,preference_index,preference,candidate_budget,actual_candidate_attempts,unused_candidate_budget,stop_reason,batches,seconds,final_validation_evaluations,preference_initialization_evaluations
PPO-Test-1-small-r0-B252000,Test-1,small,0,0,"(0.0, 1.0)",12000,1224,10776,positive_probability_action_space_exhausted,154,2.194032999992487,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,1,"(0.05, 0.95)",12000,1184,10816,positive_probability_action_space_exhausted,149,1.9271632000018144,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,2,"(0.1, 0.9)",12000,1179,10821,positive_probability_action_space_exhausted,148,2.0605886000121245,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,3,"(0.15, 0.85)",12000,1408,10592,positive_probability_action_space_exhausted,177,2.3706832000025315,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,4,"(0.2, 0.8)",12000,1564,10436,positive_probability_action_space_exhausted,196,2.625454000008176,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,5,"(0.25, 0.75)",12000,1408,10592,positive_probability_action_space_exhausted,177,2.257372600011877,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,6,"(0.3, 0.7)",12000,1759,10241,positive_probability_action_space_exhausted,220,2.9111369000020204,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,7,"(0.35, 0.65)",12000,1661,10339,positive_probability_action_space_exhausted,208,2.7434994999930495,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,8,"(0.4, 0.6)",12000,1227,10773,positive_probability_action_space_exhausted,154,2.0722112999937963,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,9,"(0.45, 0.55)",12000,1348,10652,positive_probability_action_space_exhausted,169,2.185603699996136,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,10,"(0.5, 0.5)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.7389353000035044,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,11,"(0.55, 0.44999999999999996)",12000,1393,10607,positive_probability_action_space_exhausted,175,2.2953331000026083,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,12,"(0.6, 0.4)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.6525656000012532,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,13,"(0.65, 0.35)",12000,1199,10801,positive_probability_action_space_exhausted,150,1.8787890000094194,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,14,"(0.7, 0.30000000000000004)",12000,1207,10793,positive_probability_action_space_exhausted,151,1.965597999995225,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,15,"(0.75, 0.25)",12000,1239,10761,positive_probability_action_space_exhausted,155,1.997210500005167,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,16,"(0.8, 0.19999999999999996)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.687868900000467,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,17,"(0.85, 0.15000000000000002)",12000,1327,10673,positive_probability_action_space_exhausted,166,2.1779372000019066,1,1
PPO-Test-1-small-r0-B252000,Test-1,small,0,18,"(0.9, 0.09999999999999998)",12000,1311,10689,positive_probability_action_space_exhausted,164,2.0715034999884665,1,1
