scenario,instance_id,b_C,b_R,solution_id,cost,risk,archive_id,solution_path
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,9333d7a057bdb35891533680659bbe6558f30017166a29071be5ada7f74b34a0,13973.628992999998,2876.462483086206,PPO-Test-4-large-r1-B252000,solutions/test-Test-4-000--revision-v4/9333d7a057bdb35891533680659bbe6558f30017166a29071be5ada7f74b34a0.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,2184d5902300900991aa2c1e6d6a5a29a15dec1e183e4085c85cadd9395006f1,13981.536992999998,2830.8056862255,PPO-Test-4-large-r1-B252000,solutions/test-Test-4-000--revision-v4/2184d5902300900991aa2c1e6d6a5a29a15dec1e183e4085c85cadd9395006f1.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,590f8bba223ee6be3b269a225ce7a8db13dfbb06f8b3e3dd5a606494d7f43cbe,13982.181992999998,2808.4897563291192,PPO-Test-4-large-r1-B252000,solutions/test-Test-4-000--revision-v4/590f8bba223ee6be3b269a225ce7a8db13dfbb06f8b3e3dd5a606494d7f43cbe.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,e5ef01d36b06583e3c091856ce07fe6e2965a5b56e6104320c98001ab7484c1d,13989.594648999999,2804.858892972722,PPO-Test-4-large-r1-B252000,solutions/test-Test-4-000--revision-v4/e5ef01d36b06583e3c091856ce07fe6e2965a5b56e6104320c98001ab7484c1d.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,042d8d9d41cf1d280d080b859398807090ec5ff58f3c3bb7ee7c2d05ba23a9a0,14002.715963999999,2794.072485288743,PPO-Test-4-large-r1-B252000,solutions/test-Test-4-000--revision-v4/042d8d9d41cf1d280d080b859398807090ec5ff58f3c3bb7ee7c2d05ba23a9a0.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,92231d90c8cdb849b2ed270b54951b13564467c5e4a2633ffb3148e774a61cb6,14035.035993000001,2766.027066776336,PPO-Test-4-large-r1-B252000,solutions/test-Test-4-000--revision-v4/92231d90c8cdb849b2ed270b54951b13564467c5e4a2633ffb3148e774a61cb6.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,705ffeb92a5ca49f4cd5a53c7084f5ba6c161595b1f29fb3d9dfe48fabe3d27e,14035.680993000002,2743.711136879956,PPO-Test-4-large-r1-B252000,solutions/test-Test-4-000--revision-v4/705ffeb92a5ca49f4cd5a53c7084f5ba6c161595b1f29fb3d9dfe48fabe3d27e.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,9e6d687eeb6389af1e1e67d8b490dff51ce41093b95a6bfcea7cf364f9073d32,14041.566993000004,2733.4644997695727,PPO-Test-4-large-r1-B252000,solutions/test-Test-4-000--revision-v4/9e6d687eeb6389af1e1e67d8b490dff51ce41093b95a6bfcea7cf364f9073d32.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,e85b81030e9e19143350af9a4df66220a15af1431edafaf41b606dc96e1b2147,14056.214963999999,2729.2938658395797,PPO-Test-4-large-r1-B252000,solutions/test-Test-4-000--revision-v4/e85b81030e9e19143350af9a4df66220a15af1431edafaf41b606dc96e1b2147.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,c51c1ca9be0bd4730390a1df5d8f1f48f764cc74fa965ed95142c18c798d6553,14113.614993,2724.131767728175,PPO-Test-4-large-r1-B252000,solutions/test-Test-4-000--revision-v4/c51c1ca9be0bd4730390a1df5d8f1f48f764cc74fa965ed95142c18c798d6553.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,365481ddecba69c7ab8b3e5ed0031ab4f5756464d282406fa98f89cdc3411730,14113.920537000002,2689.24935750232,PPO-Test-4-large-r1-B252000,solutions/test-Test-4-000--revision-v4/365481ddecba69c7ab8b3e5ed0031ab4f5756464d282406fa98f89cdc3411730.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,59a21353aec9c1addff6f1d263e7d9b0a66d36130e6f35d93eb9d3f4ecc524fc,14178.407682,2672.6623284482007,PPO-Test-4-large-r1-B252000,solutions/test-Test-4-000--revision-v4/59a21353aec9c1addff6f1d263e7d9b0a66d36130e6f35d93eb9d3f4ecc524fc.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,64a7a21b56378d3ec4cf9c217e91561b75543cb4765c57a0ce329c9d397c10c4,14522.753177,1862.5271972961718,PPO-Test-4-large-r2-B252000,solutions/test-Test-4-000--revision-v4/64a7a21b56378d3ec4cf9c217e91561b75543cb4765c57a0ce329c9d397c10c4.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,51c606c6d1336a73efc5fa396ea74f9e6df13fe42cec65dde7872b6274665657,14525.294921,1854.5770778969495,PPO-Test-4-large-r2-B252000,solutions/test-Test-4-000--revision-v4/51c606c6d1336a73efc5fa396ea74f9e6df13fe42cec65dde7872b6274665657.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,445df362cf49688b7699886020c9f39cbb1b3dffc7890d8aa104ce5b4db2c108,14532.575921,1852.0112668681356,PPO-Test-4-large-r2-B252000,solutions/test-Test-4-000--revision-v4/445df362cf49688b7699886020c9f39cbb1b3dffc7890d8aa104ce5b4db2c108.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,e15c05518b72dac2bfcc1645af3a1e56ebaf107841ff10ac5eec59e6b90d76aa,14543.083967999999,1837.171863674878,PPO-Test-4-large-r2-B252000,solutions/test-Test-4-000--revision-v4/e15c05518b72dac2bfcc1645af3a1e56ebaf107841ff10ac5eec59e6b90d76aa.json
