archive_id,instance,model,repeat,preference_index,preference,candidate_budget,actual_candidate_attempts,unused_candidate_budget,stop_reason,batches,seconds,final_validation_evaluations,preference_initialization_evaluations
small-p0-r0,small-fixed,small,0,0,"(1.0, 0.0)",12000,1135,10865,positive_probability_action_space_exhausted,142,1.2040701000078116,1,1
small-p0-r1,small-fixed,small,1,0,"(1.0, 0.0)",12000,1124,10876,positive_probability_action_space_exhausted,141,1.1818568000016967,1,1
small-p0-r2,small-fixed,small,2,0,"(1.0, 0.0)",12000,1124,10876,positive_probability_action_space_exhausted,141,1.1896971000096528,1,1
small-p1-r0,small-fixed,small,0,1,"(0.75, 0.25)",12000,1124,10876,positive_probability_action_space_exhausted,141,1.1984324000077322,1,1
small-p1-r1,small-fixed,small,1,1,"(0.75, 0.25)",12000,1124,10876,positive_probability_action_space_exhausted,141,1.2146996999945259,1,1
small-p1-r2,small-fixed,small,2,1,"(0.75, 0.25)",12000,1124,10876,positive_probability_action_space_exhausted,141,1.1782156999979634,1,1
small-p2-r0,small-fixed,small,0,2,"(0.5, 0.5)",12000,1123,10877,positive_probability_action_space_exhausted,141,1.241007200005697,1,1
small-p2-r1,small-fixed,small,1,2,"(0.5, 0.5)",12000,1123,10877,positive_probability_action_space_exhausted,141,1.2286370000074385,1,1
small-p2-r2,small-fixed,small,2,2,"(0.5, 0.5)",12000,1123,10877,positive_probability_action_space_exhausted,141,1.2392947000043932,1,1
small-p3-r0,small-fixed,small,0,3,"(0.25, 0.75)",12000,1147,10853,positive_probability_action_space_exhausted,144,1.3078172000095947,1,1
small-p3-r1,small-fixed,small,1,3,"(0.25, 0.75)",12000,1147,10853,positive_probability_action_space_exhausted,144,1.340135199992801,1,1
small-p3-r2,small-fixed,small,2,3,"(0.25, 0.75)",12000,1118,10882,positive_probability_action_space_exhausted,140,1.2349239000031957,1,1
small-p4-r0,small-fixed,small,0,4,"(0.0, 1.0)",12000,1175,10825,positive_probability_action_space_exhausted,147,1.3307924999971874,1,1
small-p4-r1,small-fixed,small,1,4,"(0.0, 1.0)",12000,1175,10825,positive_probability_action_space_exhausted,147,1.3222620000015013,1,1
small-p4-r2,small-fixed,small,2,4,"(0.0, 1.0)",12000,1154,10846,positive_probability_action_space_exhausted,145,1.3332890999881784,1,1
