instance,instance_id,model,repeat,nsga_budget,P_archive,N_archive,n_P,n_N,b_C,b_R,N_covers_P_count,P_covers_N_count,N_covers_P,P_covers_N,tolerance,status
Test-1,test-Test-1-000--revision-v4,small,0,40320,PPO-Test-1-small-r0-B40320,NSGA-Test-1-r0-B40320,17,16,3132.3504099999996,30.73791672772027,12,9,0.7058823529411765,0.5625,1e-08,valid
Test-1,test-Test-1-000--revision-v4,small,1,40320,PPO-Test-1-small-r1-B40320,NSGA-Test-1-r1-B40320,21,16,3132.3504099999996,30.73791672772027,13,13,0.6190476190476191,0.8125,1e-08,valid
Test-1,test-Test-1-000--revision-v4,small,2,40320,PPO-Test-1-small-r2-B40320,NSGA-Test-1-r2-B40320,20,18,3132.3504099999996,30.73791672772027,12,13,0.6,0.7222222222222222,1e-08,valid
Test-1,test-Test-1-000--revision-v4,large,0,40320,PPO-Test-1-large-r0-B40320,NSGA-Test-1-r0-B40320,16,16,3132.3504099999996,30.73791672772027,10,8,0.625,0.5,1e-08,valid
Test-1,test-Test-1-000--revision-v4,large,1,40320,PPO-Test-1-large-r1-B40320,NSGA-Test-1-r1-B40320,20,16,3132.3504099999996,30.73791672772027,14,7,0.7,0.4375,1e-08,valid
Test-1,test-Test-1-000--revision-v4,large,2,40320,PPO-Test-1-large-r2-B40320,NSGA-Test-1-r2-B40320,21,18,3132.3504099999996,30.73791672772027,14,14,0.6666666666666666,0.7777777777777778,1e-08,valid
Test-2,test-Test-2-000--revision-v4,small,0,40320,PPO-Test-2-small-r0-B40320,NSGA-Test-2-r0-B40320,106,93,8186.401456,123.65244690373447,40,48,0.37735849056603776,0.5161290322580645,1e-08,valid
Test-2,test-Test-2-000--revision-v4,small,1,40320,PPO-Test-2-small-r1-B40320,NSGA-Test-2-r1-B40320,93,87,8186.401456,123.65244690373447,5,62,0.053763440860215055,0.7126436781609196,1e-08,valid
Test-2,test-Test-2-000--revision-v4,small,2,40320,PPO-Test-2-small-r2-B40320,NSGA-Test-2-r2-B40320,86,52,8186.401456,123.65244690373447,29,15,0.3372093023255814,0.28846153846153844,1e-08,valid
Test-2,test-Test-2-000--revision-v4,large,0,40320,PPO-Test-2-large-r0-B40320,NSGA-Test-2-r0-B40320,86,93,8186.401456,123.65244690373447,8,71,0.09302325581395349,0.7634408602150538,1e-08,valid
Test-2,test-Test-2-000--revision-v4,large,1,40320,PPO-Test-2-large-r1-B40320,NSGA-Test-2-r1-B40320,103,87,8186.401456,123.65244690373447,0,87,0.0,1.0,1e-08,valid
Test-2,test-Test-2-000--revision-v4,large,2,40320,PPO-Test-2-large-r2-B40320,NSGA-Test-2-r2-B40320,99,52,8186.401456,123.65244690373447,0,51,0.0,0.9807692307692307,1e-08,valid
Test-3,test-Test-3-000--revision-v4,small,0,40320,PPO-Test-3-small-r0-B40320,NSGA-Test-3-r0-B40320,78,63,17769.709608999998,1466.8658061136853,18,32,0.23076923076923078,0.5079365079365079,1e-08,valid
Test-3,test-Test-3-000--revision-v4,small,1,40320,PPO-Test-3-small-r1-B40320,NSGA-Test-3-r1-B40320,31,80,17769.709608999998,1466.8658061136853,10,0,0.3225806451612903,0.0,1e-08,valid
Test-3,test-Test-3-000--revision-v4,small,2,40320,PPO-Test-3-small-r2-B40320,NSGA-Test-3-r2-B40320,44,88,17769.709608999998,1466.8658061136853,36,0,0.8181818181818182,0.0,1e-08,valid
Test-3,test-Test-3-000--revision-v4,large,0,40320,PPO-Test-3-large-r0-B40320,NSGA-Test-3-r0-B40320,40,63,17769.709608999998,1466.8658061136853,0,63,0.0,1.0,1e-08,valid
Test-3,test-Test-3-000--revision-v4,large,1,40320,PPO-Test-3-large-r1-B40320,NSGA-Test-3-r1-B40320,69,80,17769.709608999998,1466.8658061136853,0,80,0.0,1.0,1e-08,valid
Test-3,test-Test-3-000--revision-v4,large,2,40320,PPO-Test-3-large-r2-B40320,NSGA-Test-3-r2-B40320,51,88,17769.709608999998,1466.8658061136853,0,88,0.0,1.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,small,0,40320,PPO-Test-4-small-r0-B40320,NSGA-Test-4-r0-B40320,59,70,51700.426665000006,15393.350068342135,59,0,1.0,0.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,small,1,40320,PPO-Test-4-small-r1-B40320,NSGA-Test-4-r1-B40320,25,19,51700.426665000006,15393.350068342135,25,0,1.0,0.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,small,2,40320,PPO-Test-4-small-r2-B40320,NSGA-Test-4-r2-B40320,47,63,51700.426665000006,15393.350068342135,47,0,1.0,0.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,large,0,40320,PPO-Test-4-large-r0-B40320,NSGA-Test-4-r0-B40320,23,70,51700.426665000006,15393.350068342135,15,0,0.6521739130434783,0.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,large,1,40320,PPO-Test-4-large-r1-B40320,NSGA-Test-4-r1-B40320,23,19,51700.426665000006,15393.350068342135,21,0,0.9130434782608695,0.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,large,2,40320,PPO-Test-4-large-r2-B40320,NSGA-Test-4-r2-B40320,39,63,51700.426665000006,15393.350068342135,30,0,0.7692307692307693,0.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,large,0,120960,PPO-Test-4-large-r0-B40320,NSGA-Test-4-r0-B120960,23,130,51700.426665000006,15393.350068342135,23,0,1.0,0.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,large,1,120960,PPO-Test-4-large-r1-B40320,NSGA-Test-4-r1-B120960,23,120,51700.426665000006,15393.350068342135,23,0,1.0,0.0,1e-08,valid
Test-4,test-Test-4-000--revision-v4,large,2,120960,PPO-Test-4-large-r2-B40320,NSGA-Test-4-r2-B120960,39,134,51700.426665000006,15393.350068342135,39,0,1.0,0.0,1e-08,valid
