archive_id,instance,model,algorithm,repeat,budget,run_origin,execution_workers,execution_workers_scope,seconds,points,status,strict_feasible_points,terminal_clear_points,preparation_seconds,candidate_attempts,candidate_objective_evaluations,cache_hits,invalid_candidates,operator_failures,invalid_candidate_attempts,ppo_internal_objective_evaluations,return_validation_evaluations,preference_initialization_evaluations,objective_evaluations_total_excluding_preparation
NSGA-Test-1-r0-B40320,Test-1,,NSGA,0,40320,v4_reused,16,historical_batch,21.046438100049272,16,success,16,16,0.0003003999590873718,40320,3291,37029,1313,1956,1956,0,0,0,3291
PPO-Test-1-small-r0-B40320,Test-1,small,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,30.54144849999284,17,success,17,17,0.00035599998955149204,27461,4554,12756,186,10151,576,0,21,21,4596
PPO-Test-1-large-r0-B40320,Test-1,large,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,26.69797560000734,16,success,16,16,0.00035539999953471124,24086,3603,14262,206,6221,1424,0,21,21,3645
NSGA-Test-1-r1-B40320,Test-1,,NSGA,1,40320,v4_reused,16,historical_batch,21.70869910006877,16,success,16,16,0.0002997999545186758,40320,3988,36332,1200,1491,1491,0,0,0,3988
PPO-Test-1-small-r1-B40320,Test-1,small,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,32.151937100003124,21,success,21,21,0.00035770000249613076,28784,5054,13045,293,10685,720,0,21,21,5096
PPO-Test-1-large-r1-B40320,Test-1,large,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,26.515717400005087,20,success,20,20,0.00034869999217335135,24150,3574,14229,225,6347,1323,0,21,21,3616
NSGA-Test-1-r2-B40320,Test-1,,NSGA,2,40320,v4_reused,16,historical_batch,21.278536399942823,18,success,18,18,0.0003066000062972307,40320,3646,36674,1581,3386,3386,0,0,0,3646
PPO-Test-1-small-r2-B40320,Test-1,small,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,29.65879159999895,20,success,20,20,0.0003558000025805086,26959,4545,12797,156,9617,634,0,21,21,4587
PPO-Test-1-large-r2-B40320,Test-1,large,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,26.774491600008332,21,success,21,21,0.0004017000028397888,24225,3558,14182,197,6485,1504,0,21,21,3600
NSGA-Test-2-r0-B40320,Test-2,,NSGA,0,40320,v4_reused,16,historical_batch,81.89341000001878,93,success,93,93,0.0007616999791935086,40320,26665,13655,6183,6545,6545,0,0,0,26665
PPO-Test-2-small-r0-B40320,Test-2,small,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,70.35033760000078,106,success,106,106,0.000890600000275299,39791,22674,6700,2241,10417,3673,0,21,21,22716
PPO-Test-2-large-r0-B40320,Test-2,large,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,71.19671910000034,86,success,86,86,0.0008416999917244539,38979,25153,8438,1657,5388,2116,0,21,21,25195
NSGA-Test-2-r1-B40320,Test-2,,NSGA,1,40320,v4_reused,16,historical_batch,74.4781569999177,87,success,87,87,0.0007467999821528792,40320,21131,19189,4814,5708,5708,0,0,0,21131
PPO-Test-2-small-r1-B40320,Test-2,small,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,70.31312670001353,93,success,93,93,0.0008465999999316409,39881,22841,6328,2270,10712,3582,0,21,21,22883
PPO-Test-2-large-r1-B40320,Test-2,large,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,72.74188469999353,103,success,103,103,0.0008751999994274229,39546,25421,9049,1855,5076,2367,0,21,21,25463
NSGA-Test-2-r2-B40320,Test-2,,NSGA,2,40320,v4_reused,16,historical_batch,75.3354216000298,52,success,52,52,0.0007461999775841832,40320,20808,19512,3289,3587,3587,0,0,0,20808
PPO-Test-2-small-r2-B40320,Test-2,small,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,70.60407599998871,86,success,86,86,0.0008662000036565587,40166,23032,6823,2070,10311,3474,0,21,21,23074
PPO-Test-2-large-r2-B40320,Test-2,large,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,73.97085069998866,99,success,99,99,0.0009131999977398664,39853,26856,7784,1424,5213,1751,0,21,21,26898
