archive_id,instance,model,repeat,preference_index,preference,candidate_budget,actual_candidate_attempts,unused_candidate_budget,stop_reason,batches,seconds,final_validation_evaluations,preference_initialization_evaluations
PPO-Test-1-small-r0-B40320,Test-1,small,0,0,"(0.0, 1.0)",1920,1224,696,positive_probability_action_space_exhausted,154,1.344183900000644,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,1,"(0.05, 0.95)",1920,1184,736,positive_probability_action_space_exhausted,149,1.3223542000050656,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,2,"(0.1, 0.9)",1920,1179,741,positive_probability_action_space_exhausted,148,1.3322291999938898,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,3,"(0.15, 0.85)",1920,1408,512,positive_probability_action_space_exhausted,177,1.5488140000088606,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,4,"(0.2, 0.8)",1920,1564,356,positive_probability_action_space_exhausted,196,1.7629067999951076,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,5,"(0.25, 0.75)",1920,1408,512,positive_probability_action_space_exhausted,177,1.6523534000007203,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,6,"(0.3, 0.7)",1920,1759,161,positive_probability_action_space_exhausted,220,2.138828099996317,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,7,"(0.35, 0.65)",1920,1661,259,positive_probability_action_space_exhausted,208,1.893492300005164,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,8,"(0.4, 0.6)",1920,1227,693,positive_probability_action_space_exhausted,154,1.4318296999990707,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,9,"(0.45, 0.55)",1920,1348,572,positive_probability_action_space_exhausted,169,1.5166256000084104,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,10,"(0.5, 0.5)",1920,1119,801,positive_probability_action_space_exhausted,140,1.210305700005847,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,11,"(0.55, 0.44999999999999996)",1920,1393,527,positive_probability_action_space_exhausted,175,1.6060193999874173,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,12,"(0.6, 0.4)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1689456999883987,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,13,"(0.65, 0.35)",1920,1199,721,positive_probability_action_space_exhausted,150,1.25592609999876,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,14,"(0.7, 0.30000000000000004)",1920,1207,713,positive_probability_action_space_exhausted,151,1.3039769000024535,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,15,"(0.75, 0.25)",1920,1239,681,positive_probability_action_space_exhausted,155,1.3114233000087552,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,16,"(0.8, 0.19999999999999996)",1920,1119,801,positive_probability_action_space_exhausted,140,1.168904999998631,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,17,"(0.85, 0.15000000000000002)",1920,1327,593,positive_probability_action_space_exhausted,166,1.4016068000055384,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,18,"(0.9, 0.09999999999999998)",1920,1311,609,positive_probability_action_space_exhausted,164,1.396956800002954,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,19,"(0.95, 0.050000000000000044)",1920,1321,599,positive_probability_action_space_exhausted,166,1.3852172999904724,1,1
PPO-Test-1-small-r0-B40320,Test-1,small,0,20,"(1.0, 0.0)",1920,1145,775,positive_probability_action_space_exhausted,144,1.2513559000071837,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,0,"(0.0, 1.0)",1920,1178,742,positive_probability_action_space_exhausted,148,1.3101941000059014,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,1,"(0.05, 0.95)",1920,1163,757,positive_probability_action_space_exhausted,146,1.3484737000107998,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,2,"(0.1, 0.9)",1920,1184,736,positive_probability_action_space_exhausted,149,1.3773863999958849,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,3,"(0.15, 0.85)",1920,1185,735,positive_probability_action_space_exhausted,149,1.3340712999925017,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,4,"(0.2, 0.8)",1920,1163,757,positive_probability_action_space_exhausted,146,1.3425136000005296,1,1
PPO-Test-1-large-r0-B40320,Test-1,large,0,5,"(0.25, 0.75)",1920,1184,736,positive_probability_action_space_exhausted,149,1.3223473999969428,1,1
