scenario,instance_id,b_C,b_R,solution_id,cost,risk,archive_id,solution_path
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,aea6fd3440c91ba418d8adda5a6267a6fb44edb996359c9e8cc8ea4e788b40c5,21954.010259000002,5496.866573858585,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/aea6fd3440c91ba418d8adda5a6267a6fb44edb996359c9e8cc8ea4e788b40c5.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,e117a095d960e18ee64d20140ffb9b5b87b79993d7e7fb75c585f2b891fda56d,22579.895892,5473.643867828282,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/e117a095d960e18ee64d20140ffb9b5b87b79993d7e7fb75c585f2b891fda56d.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,674953d195bfd6e903c9301acafdf3a5ebc1a0ce4c9f2341162888ae0f5f41f8,22988.278411000007,5166.362532777858,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/674953d195bfd6e903c9301acafdf3a5ebc1a0ce4c9f2341162888ae0f5f41f8.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,29b4ce9328108bdaec74de5307619ef481239cff40c0383a84369e4cabe9aa07,23009.263411000007,5140.950993913925,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/29b4ce9328108bdaec74de5307619ef481239cff40c0383a84369e4cabe9aa07.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,e2af13014364fff8d5d3d2ba14d91710cde2dfdd95b4d96af18a741d192b2d01,23041.56041100001,5105.069400028906,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/e2af13014364fff8d5d3d2ba14d91710cde2dfdd95b4d96af18a741d192b2d01.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,04e1e0203111df1e1a20e714a6bcd6db8d4f65aa3ca6fed90eec23e29410b931,23054.16041100001,5057.360182808502,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/04e1e0203111df1e1a20e714a6bcd6db8d4f65aa3ca6fed90eec23e29410b931.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,f9146bac1b498c40e3211e4a41b693421b3fce5bf883f2c1997d390a16341056,23169.231411000008,4806.645361573447,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/f9146bac1b498c40e3211e4a41b693421b3fce5bf883f2c1997d390a16341056.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,4ddc5e0522b456da40661788d53fddf87e0ece3e31e144b0da5be0fcd6b21ec3,23177.80841100001,4799.111710229329,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/4ddc5e0522b456da40661788d53fddf87e0ece3e31e144b0da5be0fcd6b21ec3.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,8fb8222c8080694b64dd2bb62be67c5b581cb5253b5c62dac03882c5c5625306,23373.606411000015,4795.2348628130885,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/8fb8222c8080694b64dd2bb62be67c5b581cb5253b5c62dac03882c5c5625306.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,55236631c14420fe007d5296fa347b8d33ba0705ba44973e62f62762574d6289,23375.600411000007,4754.790450880413,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/55236631c14420fe007d5296fa347b8d33ba0705ba44973e62f62762574d6289.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,6d652ce0ebb40c32cf4ca9c764cde38c919707d98739d1d03a4ef8066953b8e7,23415.600411000007,4674.941088205418,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/6d652ce0ebb40c32cf4ca9c764cde38c919707d98739d1d03a4ef8066953b8e7.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,ba0197d93b5c2ef20e4914e97b8ed53533c91cec3f31c788db585608388625bf,23647.32847400001,3547.8873222849093,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/ba0197d93b5c2ef20e4914e97b8ed53533c91cec3f31c788db585608388625bf.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,122ecdb148182d7d2dd05909b104b62372c44aaaa3a1d34fec2fcf82eaf67302,23653.49347400001,3545.9550126257964,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/122ecdb148182d7d2dd05909b104b62372c44aaaa3a1d34fec2fcf82eaf67302.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,585052d354db23659d2d73647b95952fae0dc71e141ce506887fdb9f4c5d10a3,23709.919334000013,3513.3119989035636,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/585052d354db23659d2d73647b95952fae0dc71e141ce506887fdb9f4c5d10a3.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,1a2d45907df38ab6e6bcd9ac71c3bddc9a9009d1d18b0d2acf74355be6db0b14,23802.658124000012,3506.6304629165725,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/1a2d45907df38ab6e6bcd9ac71c3bddc9a9009d1d18b0d2acf74355be6db0b14.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,767dd3896a1cf2ac371871da82c57f096481fa1b900e8ea246ade3b1f039359a,25504.583707,3163.675730695978,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/767dd3896a1cf2ac371871da82c57f096481fa1b900e8ea246ade3b1f039359a.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,c9eda7e8c206fd4799769f49792746a7b886c26fee00665635834652d23978ea,25522.313707000005,3098.0047997836937,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/c9eda7e8c206fd4799769f49792746a7b886c26fee00665635834652d23978ea.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,aa011be0f21164119a41151bb9deb3da37f0d3d6f39392ac945db8e22faecf78,25579.357207000005,3091.8740806317974,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/aa011be0f21164119a41151bb9deb3da37f0d3d6f39392ac945db8e22faecf78.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,8e726b09530d39d34c434dbbb83d866279bbee24f34b1e24b2a5b559df47b24e,25591.642207,3074.3689904759694,PPO-Test-4-large-r0-B40320,solutions/test-Test-4-000--revision-v4/8e726b09530d39d34c434dbbb83d866279bbee24f34b1e24b2a5b559df47b24e.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,9cfb552d6aa2eeb87b1db8105e9fdc1db95323dc059715ec05d24a40b7fec40e,25613.387700000003,2910.5379261147073,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/9cfb552d6aa2eeb87b1db8105e9fdc1db95323dc059715ec05d24a40b7fec40e.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,ed6567583b9b860138d640761ac63ca4d6e22fba4f7f49e6d9788a0b9cbc49bd,25688.755304,2906.6901081302194,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/ed6567583b9b860138d640761ac63ca4d6e22fba4f7f49e6d9788a0b9cbc49bd.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,ca96a66c0031ae1c33fed00f1d0f0ee49f5843e22c306c11d2755f195ff8d3e4,25711.8987,2878.71564853046,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/ca96a66c0031ae1c33fed00f1d0f0ee49f5843e22c306c11d2755f195ff8d3e4.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,ec1d7ea199b3dbcd824d1f507a2244eda477d445c8a5ab4604a558cba8a50067,25738.0587,2876.2324987325924,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/ec1d7ea199b3dbcd824d1f507a2244eda477d445c8a5ab4604a558cba8a50067.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,8906ec4d20e630da5c989eb7fdd04a5a74cc7859c65146cec2ebf8635a63e4ef,25790.3697,2833.527991056813,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/8906ec4d20e630da5c989eb7fdd04a5a74cc7859c65146cec2ebf8635a63e4ef.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,c7c733fea02d3ea3537a3c6087c682a73f036b59ff42dec67cb3634dd2dd2042,25841.644893,2826.7112940118363,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/c7c733fea02d3ea3537a3c6087c682a73f036b59ff42dec67cb3634dd2dd2042.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,b6287f0f87f3df044bb1e4675519390982c0bf7deef01c6e8e78d264960fbbc1,26160.765077,2820.2193668444165,PPO-Test-4-large-r1-B40320,solutions/test-Test-4-000--revision-v4/b6287f0f87f3df044bb1e4675519390982c0bf7deef01c6e8e78d264960fbbc1.json
baseline,test-Test-4-000--revision-v4,51700.426665000006,15393.350068342135,e3098083f0304f90eb30e0bc269595520b30c36d02cf6724f69874cc7ce21974,27433.687303,2815.2416411416148,PPO-Test-4-large-r2-B40320,solutions/test-Test-4-000--revision-v4/e3098083f0304f90eb30e0bc269595520b30c36d02cf6724f69874cc7ce21974.json
