archive_id,instance,model,repeat,preference_index,preference,candidate_budget,actual_candidate_attempts,unused_candidate_budget,stop_reason,batches,seconds,final_validation_evaluations,preference_initialization_evaluations
small-p0-r0,small-fixed,small,0,0,"(1.0, 0.0)",1920,1135,785,positive_probability_action_space_exhausted,142,1.166325499987579,1,1
small-p0-r1,small-fixed,small,1,0,"(1.0, 0.0)",1920,1124,796,positive_probability_action_space_exhausted,141,1.2066115999914473,1,1
small-p0-r2,small-fixed,small,2,0,"(1.0, 0.0)",1920,1124,796,positive_probability_action_space_exhausted,141,1.1905272000003606,1,1
small-p1-r0,small-fixed,small,0,1,"(0.75, 0.25)",1920,1124,796,positive_probability_action_space_exhausted,141,1.2732562999881338,1,1
small-p1-r1,small-fixed,small,1,1,"(0.75, 0.25)",1920,1124,796,positive_probability_action_space_exhausted,141,1.2312927000020863,1,1
small-p1-r2,small-fixed,small,2,1,"(0.75, 0.25)",1920,1124,796,positive_probability_action_space_exhausted,141,1.1894872999982908,1,1
small-p2-r0,small-fixed,small,0,2,"(0.5, 0.5)",1920,1123,797,positive_probability_action_space_exhausted,141,1.2130147999996552,1,1
small-p2-r1,small-fixed,small,1,2,"(0.5, 0.5)",1920,1123,797,positive_probability_action_space_exhausted,141,1.281454500000109,1,1
small-p2-r2,small-fixed,small,2,2,"(0.5, 0.5)",1920,1123,797,positive_probability_action_space_exhausted,141,1.2236286999977892,1,1
small-p3-r0,small-fixed,small,0,3,"(0.25, 0.75)",1920,1147,773,positive_probability_action_space_exhausted,144,1.2887297999986913,1,1
small-p3-r1,small-fixed,small,1,3,"(0.25, 0.75)",1920,1147,773,positive_probability_action_space_exhausted,144,1.3020468000031542,1,1
small-p3-r2,small-fixed,small,2,3,"(0.25, 0.75)",1920,1118,802,positive_probability_action_space_exhausted,140,1.2551932000060333,1,1
small-p4-r0,small-fixed,small,0,4,"(0.0, 1.0)",1920,1175,745,positive_probability_action_space_exhausted,147,1.3379680999933043,1,1
small-p4-r1,small-fixed,small,1,4,"(0.0, 1.0)",1920,1175,745,positive_probability_action_space_exhausted,147,1.3122758000099566,1,1
small-p4-r2,small-fixed,small,2,4,"(0.0, 1.0)",1920,1154,766,positive_probability_action_space_exhausted,145,1.303266299990355,1,1
