instance,instance_id,model,repeat,nsga_budget,P_archive,N_archive,n_P,n_N,b_C,b_R,N_covers_P_count,P_covers_N_count,N_covers_P,P_covers_N,tolerance,status
Test-1,test-Test-1-000,small,0,40320,PPO-Test-1-small-r0-B40320,NSGA-Test-1-r0-B40320,17,47,1746.053735,16.4164817181207,16,3,0.9411764705882353,0.06382978723404255,1e-08,valid
Test-1,test-Test-1-000,small,1,40320,PPO-Test-1-small-r1-B40320,NSGA-Test-1-r1-B40320,34,44,1746.053735,16.4164817181207,32,5,0.9411764705882353,0.11363636363636363,1e-08,valid
Test-1,test-Test-1-000,small,2,40320,PPO-Test-1-small-r2-B40320,NSGA-Test-1-r2-B40320,22,27,1746.053735,16.4164817181207,22,1,1.0,0.037037037037037035,1e-08,valid
Test-1,test-Test-1-000,large,0,40320,PPO-Test-1-large-r0-B40320,NSGA-Test-1-r0-B40320,32,47,1746.053735,16.4164817181207,28,10,0.875,0.2127659574468085,1e-08,valid
Test-1,test-Test-1-000,large,1,40320,PPO-Test-1-large-r1-B40320,NSGA-Test-1-r1-B40320,32,44,1746.053735,16.4164817181207,28,3,0.875,0.06818181818181818,1e-08,valid
Test-1,test-Test-1-000,large,2,40320,PPO-Test-1-large-r2-B40320,NSGA-Test-1-r2-B40320,23,27,1746.053735,16.4164817181207,23,1,1.0,0.037037037037037035,1e-08,valid
Test-2,test-Test-2-000,small,0,40320,PPO-Test-2-small-r0-B40320,NSGA-Test-2-r0-B40320,87,112,3140.3825639999995,43.55604403893079,34,62,0.39080459770114945,0.5535714285714286,1e-08,valid
Test-2,test-Test-2-000,small,1,40320,PPO-Test-2-small-r1-B40320,NSGA-Test-2-r1-B40320,105,129,3140.3825639999995,43.55604403893079,76,1,0.7238095238095238,0.007751937984496124,1e-08,valid
Test-2,test-Test-2-000,small,2,40320,PPO-Test-2-small-r2-B40320,NSGA-Test-2-r2-B40320,93,92,3140.3825639999995,43.55604403893079,62,17,0.6666666666666666,0.18478260869565216,1e-08,valid
Test-2,test-Test-2-000,large,0,40320,PPO-Test-2-large-r0-B40320,NSGA-Test-2-r0-B40320,99,112,3140.3825639999995,43.55604403893079,39,46,0.3939393939393939,0.4107142857142857,1e-08,valid
Test-2,test-Test-2-000,large,1,40320,PPO-Test-2-large-r1-B40320,NSGA-Test-2-r1-B40320,78,129,3140.3825639999995,43.55604403893079,50,26,0.6410256410256411,0.20155038759689922,1e-08,valid
Test-2,test-Test-2-000,large,2,40320,PPO-Test-2-large-r2-B40320,NSGA-Test-2-r2-B40320,64,92,3140.3825639999995,43.55604403893079,27,11,0.421875,0.11956521739130435,1e-08,valid
Test-3,test-Test-3-000,small,0,40320,PPO-Test-3-small-r0-B40320,NSGA-Test-3-r0-B40320,64,90,6699.108980999999,210.21561608766052,36,15,0.5625,0.16666666666666666,1e-08,valid
Test-3,test-Test-3-000,small,1,40320,PPO-Test-3-small-r1-B40320,NSGA-Test-3-r1-B40320,72,110,6699.108980999999,210.21561608766052,0,110,0.0,1.0,1e-08,valid
Test-3,test-Test-3-000,small,2,40320,PPO-Test-3-small-r2-B40320,NSGA-Test-3-r2-B40320,92,104,6699.108980999999,210.21561608766052,38,39,0.41304347826086957,0.375,1e-08,valid
Test-3,test-Test-3-000,large,0,40320,PPO-Test-3-large-r0-B40320,NSGA-Test-3-r0-B40320,70,90,6699.108980999999,210.21561608766052,54,15,0.7714285714285715,0.16666666666666666,1e-08,valid
Test-3,test-Test-3-000,large,1,40320,PPO-Test-3-large-r1-B40320,NSGA-Test-3-r1-B40320,70,110,6699.108980999999,210.21561608766052,8,88,0.11428571428571428,0.8,1e-08,valid
Test-3,test-Test-3-000,large,2,40320,PPO-Test-3-large-r2-B40320,NSGA-Test-3-r2-B40320,53,104,6699.108980999999,210.21561608766052,35,13,0.660377358490566,0.125,1e-08,valid
Test-4,test-Test-4-000,small,0,40320,PPO-Test-4-small-r0-B40320,NSGA-Test-4-r0-B40320,81,108,18284.204703000003,1228.995417854228,60,15,0.7407407407407407,0.1388888888888889,1e-08,valid
Test-4,test-Test-4-000,small,1,40320,PPO-Test-4-small-r1-B40320,NSGA-Test-4-r1-B40320,55,86,18284.204703000003,1228.995417854228,29,0,0.5272727272727272,0.0,1e-08,valid
Test-4,test-Test-4-000,small,2,40320,PPO-Test-4-small-r2-B40320,NSGA-Test-4-r2-B40320,71,115,18284.204703000003,1228.995417854228,30,26,0.4225352112676056,0.22608695652173913,1e-08,valid
Test-4,test-Test-4-000,large,0,40320,PPO-Test-4-large-r0-B40320,NSGA-Test-4-r0-B40320,49,108,18284.204703000003,1228.995417854228,22,14,0.4489795918367347,0.12962962962962962,1e-08,valid
Test-4,test-Test-4-000,large,1,40320,PPO-Test-4-large-r1-B40320,NSGA-Test-4-r1-B40320,61,86,18284.204703000003,1228.995417854228,42,0,0.6885245901639344,0.0,1e-08,valid
Test-4,test-Test-4-000,large,2,40320,PPO-Test-4-large-r2-B40320,NSGA-Test-4-r2-B40320,59,115,18284.204703000003,1228.995417854228,24,44,0.4067796610169492,0.3826086956521739,1e-08,valid
Test-4,test-Test-4-000,large,0,120960,PPO-Test-4-large-r0-B40320,NSGA-Test-4-r0-B120960,49,142,18284.204703000003,1228.995417854228,34,0,0.6938775510204082,0.0,1e-08,valid
Test-4,test-Test-4-000,large,1,120960,PPO-Test-4-large-r1-B40320,NSGA-Test-4-r1-B120960,61,161,18284.204703000003,1228.995417854228,42,0,0.6885245901639344,0.0,1e-08,valid
Test-4,test-Test-4-000,large,2,120960,PPO-Test-4-large-r2-B40320,NSGA-Test-4-r2-B120960,59,160,18284.204703000003,1228.995417854228,40,0,0.6779661016949152,0.0,1e-08,valid
