archive_id,instance,model,algorithm,repeat,budget,seconds,points,status,strict_feasible_points,terminal_clear_points,preparation_seconds,candidate_attempts,candidate_objective_evaluations,cache_hits,invalid_candidates,operator_failures,invalid_candidate_attempts,ppo_internal_objective_evaluations,return_validation_evaluations,objective_evaluations_total_excluding_preparation
NSGA-Test-1-r0-B40320,Test-1,,NSGA,0,40320,22.309164199978113,47,success,47,47,0.00026599992997944355,40320,9062,31258,40,150,150,0,0,9062
PPO-Test-1-small-r0-B40320,Test-1,small,PPO,0,40320,48.03920330002438,17,success,17,17,0.0003212000010535121,40320,5818,34502,0,8750,0,32851,21,38690
PPO-Test-1-large-r0-B40320,Test-1,large,PPO,0,40320,48.30179950001184,32,success,32,32,0.0005611000815406442,40320,5008,35312,0,8283,0,33318,21,38347
NSGA-Test-1-r1-B40320,Test-1,,NSGA,1,40320,22.19579139992129,44,success,44,44,0.0002770000137388706,40320,9830,30490,28,70,70,0,0,9830
PPO-Test-1-small-r1-B40320,Test-1,small,PPO,1,40320,47.90386590000708,34,success,34,34,0.0005033999914303422,40320,5679,34641,0,8839,0,32762,21,38462
PPO-Test-1-large-r1-B40320,Test-1,large,PPO,1,40320,47.989075299934484,32,success,32,32,0.000368200009688735,40320,5675,34645,0,8314,0,33287,21,38983
NSGA-Test-1-r2-B40320,Test-1,,NSGA,2,40320,23.669681400060654,27,success,27,27,0.0002839000662788749,40320,14597,25723,59,154,154,0,0,14597
PPO-Test-1-small-r2-B40320,Test-1,small,PPO,2,40320,47.50431190000381,22,success,22,22,0.0003529000096023083,40320,5846,34474,0,8772,0,32829,21,38696
PPO-Test-1-large-r2-B40320,Test-1,large,PPO,2,40320,47.97723760001827,23,success,23,23,0.0005161999724805355,40320,5522,34798,0,8549,0,33052,21,38595
NSGA-Test-2-r0-B40320,Test-2,,NSGA,0,40320,73.68646500003524,112,success,112,112,0.0009812000207602978,40320,30300,10020,0,0,0,0,0,30300
PPO-Test-2-small-r0-B40320,Test-2,small,PPO,0,40320,103.99065140006132,87,success,87,87,0.0010736000258475542,40320,29866,10454,0,5517,0,36084,21,65971
PPO-Test-2-large-r0-B40320,Test-2,large,PPO,0,40320,104.96503680001479,99,success,99,99,0.0006793999345973134,40320,29975,10345,0,5052,0,36549,21,66545
NSGA-Test-2-r1-B40320,Test-2,,NSGA,1,40320,74.6923382000532,129,success,129,129,0.0009994999272748828,40320,28652,11668,7,7,7,0,0,28652
PPO-Test-2-small-r1-B40320,Test-2,small,PPO,1,40320,103.72860959998798,105,success,105,105,0.0006654999451711774,40320,29263,11057,0,5736,0,35865,21,65149
PPO-Test-2-large-r1-B40320,Test-2,large,PPO,1,40320,104.15225449996069,78,success,78,78,0.0010263000149279833,40320,30229,10091,0,4851,0,36750,21,67000
NSGA-Test-2-r2-B40320,Test-2,,NSGA,2,40320,70.89717499993276,92,success,92,92,0.0005945001030340791,40320,25873,14447,3,3,3,0,0,25873
PPO-Test-2-small-r2-B40320,Test-2,small,PPO,2,40320,102.78186930005904,93,success,93,93,0.0010434999130666256,40320,28454,11866,0,5714,0,35887,21,64362
PPO-Test-2-large-r2-B40320,Test-2,large,PPO,2,40320,104.47773289994802,64,success,64,64,0.001178500009700656,40320,29814,10506,0,4759,0,36842,21,66677
NSGA-Test-3-r0-B40320,Test-3,,NSGA,0,40320,189.93564869998954,90,success,90,90,0.0016852000262588263,40320,29751,10569,0,0,0,0,0,29751
PPO-Test-3-small-r0-B40320,Test-3,small,PPO,0,40320,253.13300510006957,64,success,64,64,0.0028219999512657523,40320,35511,4809,0,3967,0,37634,21,73166
PPO-Test-3-large-r0-B40320,Test-3,large,PPO,0,40320,258.869321999955,70,success,70,70,0.0018007000908255577,40320,36694,3626,0,2719,0,38882,21,75597
NSGA-Test-3-r1-B40320,Test-3,,NSGA,1,40320,184.63669529999606,110,success,110,110,0.001626300043426454,40320,26850,13470,0,0,0,0,0,26850
PPO-Test-3-small-r1-B40320,Test-3,small,PPO,1,40320,251.77895860001445,72,success,72,72,0.00292480003554374,40320,35400,4920,0,4089,0,37512,21,72933
PPO-Test-3-large-r1-B40320,Test-3,large,PPO,1,40320,259.4304138000589,70,success,70,70,0.0029790999833494425,40320,36640,3680,0,2780,0,38821,21,75482
NSGA-Test-3-r2-B40320,Test-3,,NSGA,2,40320,189.0474604999181,104,success,104,104,0.0025617999490350485,40320,28581,11739,0,0,0,0,0,28581
PPO-Test-3-small-r2-B40320,Test-3,small,PPO,2,40320,255.1600317999255,92,success,92,92,0.0030391999753192067,40320,35427,4893,0,3929,0,37672,21,73120
PPO-Test-3-large-r2-B40320,Test-3,large,PPO,2,40320,259.4341812999919,53,success,53,53,0.0027959999861195683,40320,36595,3725,0,2797,0,38804,21,75420
NSGA-Test-4-r0-B40320,Test-4,,NSGA,0,40320,1075.6509441999951,108,success,108,108,0.007558800047263503,40320,34216,6104,0,0,0,0,0,34216
NSGA-Test-4-r0-B120960,Test-4,,NSGA,0,120960,3023.553029599949,142,success,142,142,0.007558800047263503,120960,99781,21179,0,0,0,0,0,99781
PPO-Test-4-small-r0-B40320,Test-4,small,PPO,0,40320,1130.4459855000023,81,success,81,81,0.011878699995577335,40320,37103,3217,0,2996,0,38605,21,75729
PPO-Test-4-large-r0-B40320,Test-4,large,PPO,0,40320,1157.328701099963,49,success,49,49,0.008291400037705898,40320,38437,1883,0,1697,0,39904,21,78362
NSGA-Test-4-r1-B40320,Test-4,,NSGA,1,40320,1070.3530722999712,86,success,86,86,0.01493439998012036,40320,33904,6416,1,1,1,0,0,33904
NSGA-Test-4-r1-B120960,Test-4,,NSGA,1,120960,3028.810228400049,161,success,161,161,0.01493439998012036,120960,98095,22865,2,2,2,0,0,98095
PPO-Test-4-small-r1-B40320,Test-4,small,PPO,1,40320,1128.9367112999316,55,success,55,55,0.012653700076043606,40320,37031,3289,0,3043,0,38558,21,75610
PPO-Test-4-large-r1-B40320,Test-4,large,PPO,1,40320,1162.8831865999382,61,success,61,61,0.008991700015030801,40320,38337,1983,0,1787,0,39814,21,78172
NSGA-Test-4-r2-B40320,Test-4,,NSGA,2,40320,1067.0855304000434,115,success,115,115,0.007829900016076863,40320,34048,6272,2,2,2,0,0,34048
NSGA-Test-4-r2-B120960,Test-4,,NSGA,2,120960,3031.295584900072,160,success,160,160,0.007829900016076863,120960,99398,21562,6,6,6,0,0,99398
PPO-Test-4-small-r2-B40320,Test-4,small,PPO,2,40320,817.4965541999554,71,success,71,71,0.008572999970056117,40320,37058,3262,0,3031,0,38570,21,75649
PPO-Test-4-large-r2-B40320,Test-4,large,PPO,2,40320,1162.7930529000005,59,success,59,59,0.007887599989771843,40320,38274,2046,0,1819,0,39782,21,78077
PPO-capacity-70-large-r0-B40320,capacity-70,large,PPO,0,40320,1178.5572369999718,55,success,55,55,0.06786900002043694,40320,38445,1875,0,1678,0,39923,21,78389
PPO-capacity-70-large-r1-B40320,capacity-70,large,PPO,1,40320,1165.744601399987,67,success,67,67,0.013308899942785501,40320,38381,1939,0,1753,0,39848,21,78250
PPO-capacity-70-large-r2-B40320,capacity-70,large,PPO,2,40320,1166.2603195999982,53,success,53,53,0.013996399939060211,40320,38271,2049,0,1808,0,39793,21,78085
PPO-capacity-80-large-r0-B40320,capacity-80,large,PPO,0,40320,1159.4283262999961,53,success,53,53,0.013791600009426475,40320,38448,1872,0,1671,0,39930,21,78399
PPO-capacity-80-large-r1-B40320,capacity-80,large,PPO,1,40320,1164.9141409998992,66,success,66,66,0.055002700071781874,40320,38366,1954,0,1762,0,39839,21,78226
PPO-capacity-80-large-r2-B40320,capacity-80,large,PPO,2,40320,1166.090078499983,60,success,60,60,0.011925800004974008,40320,38259,2061,0,1828,0,39773,21,78053
PPO-capacity-120-large-r0-B40320,capacity-120,large,PPO,0,40320,1164.5874659999972,48,success,48,48,0.007814200012944639,40320,38427,1893,0,1707,0,39894,21,78342
PPO-capacity-120-large-r1-B40320,capacity-120,large,PPO,1,40320,831.6169548000908,53,success,53,53,0.00757710007019341,40320,38340,1980,0,1780,0,39821,21,78182
PPO-capacity-120-large-r2-B40320,capacity-120,large,PPO,2,40320,1157.4890366999898,50,success,50,50,0.011072999914176762,40320,38228,2092,0,1871,0,39730,21,77979
PPO-capacity-130-large-r0-B40320,capacity-130,large,PPO,0,40320,1161.101691100048,45,success,45,45,0.009983299998566508,40320,38448,1872,0,1683,0,39918,21,78387
PPO-capacity-130-large-r1-B40320,capacity-130,large,PPO,1,40320,1161.5402867000084,49,success,49,49,0.00888639991171658,40320,38340,1980,0,1781,0,39820,21,78181
PPO-capacity-130-large-r2-B40320,capacity-130,large,PPO,2,40320,1173.6369030999485,41,success,41,41,0.016009500017389655,40320,38210,2110,0,1882,0,39719,21,77950
PPO-coload-70-large-r0-B40320,coload-70,large,PPO,0,40320,1179.42926549993,58,success,58,58,0.011745900032110512,40320,38374,1946,0,1734,0,39867,21,78262
PPO-coload-70-large-r1-B40320,coload-70,large,PPO,1,40320,1187.4595451999921,50,success,50,50,0.009104900062084198,40320,38374,1946,0,1760,0,39841,21,78236
PPO-coload-70-large-r2-B40320,coload-70,large,PPO,2,40320,1178.410046499921,69,success,69,69,0.00822000007610768,40320,38262,2058,0,1840,0,39761,21,78044
PPO-coload-80-large-r0-B40320,coload-80,large,PPO,0,40320,1174.7480860999785,57,success,57,57,0.008715500007383525,40320,38390,1930,0,1730,0,39871,21,78282
PPO-coload-80-large-r1-B40320,coload-80,large,PPO,1,40320,1178.5258691000054,60,success,60,60,0.0076766000129282475,40320,38357,1963,0,1777,0,39824,21,78202
PPO-coload-80-large-r2-B40320,coload-80,large,PPO,2,40320,1170.3639895999804,77,success,77,77,0.013127199956215918,40320,38253,2067,0,1841,0,39760,21,78034
PPO-coload-120-large-r0-B40320,coload-120,large,PPO,0,40320,1170.1759109999985,51,success,51,51,0.008147999993525445,40320,38432,1888,0,1707,0,39894,21,78347
