method,model_id,test_scale,instance_index,preference_id,cost_weight,risk_weight,expected_restarts,observed_restarts,feasible_rate,all_restarts_feasible,terminal_clear_rate,technical_failure_rate,missing_rate,runtime_seconds,successful_runtime_seconds_conditional,failed_runtime_seconds_conditional,solver_status,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk
ga,GA,Test-1,0,C000-R100,0.0,1.0,3,3,1.0,True,1.0,0.0,0.0,1.1717880333696182,1.1717880333696182,,completed,1416.848718,12.380006979298505,1.0000000000000002,0.8401780755628229,12.380006979298505,0.8401780755628229,100.0,1133.097,183.75171799999998,7.612356979298504,0.0,4.76765,0.0
ga,GA,Test-1,0,C025-R075,0.25,0.75,3,3,1.0,True,1.0,0.0,0.0,1.2283624000071238,1.2283624000071238,,completed,1385.5887179999997,12.384664271676224,0.9779369528991593,0.8404941460588887,355.6856777037571,0.8748548477689564,100.0,1101.8369999999998,183.75171799999998,7.617014271676223,0.0,4.76765,0.0
ga,GA,Test-1,0,C050-R050,0.5,0.5,3,3,1.0,True,1.0,0.0,0.0,1.2421533667171996,1.2421533667171996,,completed,1385.588718,12.384664271676224,0.9779369528991593,0.8404941460588887,698.9866911358381,0.909215549479024,100.0,1101.837,183.75171799999998,7.617014271676223,0.0,4.76765,0.0
ga,GA,Test-1,0,C075-R025,0.75,0.25,3,3,1.0,True,1.0,0.0,0.0,1.2019049000615876,1.2019049000615876,,completed,1385.5887179999997,12.384664271676224,0.9779369528991592,0.8404941460588887,1042.2877045679188,0.9435762511890915,100.0,1101.8369999999998,183.75171799999998,7.617014271676223,0.0,4.76765,0.0
ga,GA,Test-1,0,C100-R000,1.0,0.0,3,3,1.0,True,1.0,0.0,0.0,0.9271589000321304,0.9271589000321304,,completed,1385.5887179999997,14.024828533372355,0.9779369528991592,0.9518050730481122,1385.5887179999997,0.9779369528991592,100.0,1101.8369999999998,183.75171799999998,9.257178533372354,0.0,4.76765,0.0
ga,GA,Test-1,1,C000-R100,0.0,1.0,3,3,1.0,True,1.0,0.0,0.0,1.2160902333368238,1.2160902333368238,,completed,1490.3416609999997,6.552272536951928,0.8849738375098458,0.5410798437158976,6.552272536951928,0.5410798437158976,100.0,1121.0789999999997,269.262661,2.562928536951927,0.0,3.9893440000000004,0.0
ga,GA,Test-1,1,C025-R075,0.25,0.75,3,3,1.0,True,1.0,0.0,0.0,1.2439821333779644,1.2439821333779644,,completed,1255.4623276666664,6.797185508249989,0.745501077396382,0.5613045018763466,318.9634710478541,0.6073536457563554,116.66666666666667,869.5329999999998,269.262661,2.554310680402051,0.2535308278479387,3.9893440000000004,0.0
ga,GA,Test-1,1,C050-R050,0.5,0.5,3,3,1.0,True,1.0,0.0,0.0,1.0639474666289364,1.0639474666289364,,completed,1182.3836609999998,6.85736005759846,0.7021065258163718,0.5662736535063386,594.6205105287992,0.634190089661355,100.0,813.1209999999998,269.262661,2.615468331083275,0.2525477265151867,3.9893440000000004,0.0
ga,GA,Test-1,1,C075-R025,0.75,0.25,3,3,1.0,True,1.0,0.0,0.0,1.1974395333090797,1.1974395333090797,,completed,1180.831661,7.070760723588864,0.7011849388865037,0.5838960583058602,887.391435930897,0.6718627187413428,100.0,811.569,269.262661,2.7989696156446318,0.28244710794423195,3.9893440000000004,0.0
ga,GA,Test-1,1,C100-R000,1.0,0.0,3,3,1.0,True,1.0,0.0,0.0,1.0134828999871388,1.0134828999871388,,completed,1172.710661,10.612885519531714,0.696362640267008,0.8764010358082978,1172.710661,0.696362640267008,100.0,803.448,269.262661,5.94839963373508,0.6751418857966347,3.9893440000000004,0.0
