method,model_id,instance_index,preference_id,weighted_objective_normalized,milp_j,milp_status,gap_percent
ga,GA,0,C000-R100,0.8401780755628229,0.4478660206239858,solver_status_1,
ga,GA,0,C025-R075,0.8748548477689564,0.8409941226443387,solver_status_1,
ga,GA,0,C050-R050,0.909215549479024,0.9092155494790213,optimal,3.052694779750831e-13
ga,GA,0,C075-R025,0.9435762511890915,0.9435762511890918,optimal,-3.529835632974199e-14
ga,GA,0,C100-R000,0.9779369528991592,0.9779369528991625,optimal,-3.4058116568777446e-13
ga,GA,1,C000-R100,0.5410798437158976,0.1636745394573036,solver_status_1,
ga,GA,1,C025-R075,0.6073536457563554,0.3929297075518292,solver_status_1,
ga,GA,1,C050-R050,0.634190089661355,0.5061366373994585,optimal,25.300174458786095
ga,GA,1,C075-R025,0.6718627187413428,0.6053816082740378,optimal,10.98168651949055
ga,GA,1,C100-R000,0.696362640267008,0.6621958048114768,optimal,5.159627289583679
ga,GA,2,C000-R100,0.757350027715832,0.22883990995757691,solver_status_1,
ga,GA,2,C025-R075,0.786257827727166,0.5806954197316272,solver_status_1,
ga,GA,2,C050-R050,0.8066597399570097,0.7919165104733533,solver_status_1,
ga,GA,2,C075-R025,0.8031800591973374,0.8031800591973226,optimal,1.8384378519396145e-12
ga,GA,2,C100-R000,0.8024026247557199,0.7997003784376648,optimal,0.3379073451652344
ga,GA,3,C000-R100,0.8772303650136956,0.4785564761112981,solver_status_1,
ga,GA,3,C025-R075,0.8987073053022603,0.755170314489033,solver_status_1,
ga,GA,3,C050-R050,0.8805801199287959,0.8567900430938901,solver_status_1,
ga,GA,3,C075-R025,0.8276141761145187,0.8221229769807029,optimal,0.6679291648048276
ga,GA,3,C100-R000,0.7746360171973529,0.7746360171973533,optimal,-5.73287582801514e-14
ga,GA,4,C000-R100,0.793325228706006,0.26893447190889724,solver_status_1,
ga,GA,4,C025-R075,0.8090138252251654,0.6154679405224412,solver_status_1,
ga,GA,4,C050-R050,0.8558225272325101,0.7854933074933312,optimal,8.95350973308909
ga,GA,4,C075-R025,0.8907222805278622,0.8406764091142084,optimal,5.953048149214203
ga,GA,4,C100-R000,0.8843156201407835,0.8790770750200808,optimal,0.595914200194902
ga,GA,5,C000-R100,0.6213196295549612,0.12478032384457328,solver_status_1,
ga,GA,5,C025-R075,0.7046088897510826,0.5019014382341055,solver_status_1,
ga,GA,5,C050-R050,0.7742125827575196,0.693535019818866,optimal,11.63280305004995
ga,GA,5,C075-R025,0.8386878067899609,0.8386878067899609,optimal,0.0
