method,model_id,preference_id,optimal_reference_n,valid_n,mean_gap_percent,sample_sd_gap_percent,conditional_mean_gap_percent
ga,GA,C000-R100,2,2,113.47546324474601,42.70570320054735,113.47546324474601
ga,GA,C025-R075,2,2,10.632428488681386,7.536750457373427,10.632428488681386
ga,GA,C050-R050,26,26,12.67243205728277,15.679305441260336,12.67243205728277
ga,GA,C075-R025,49,49,6.908406129948059,9.738513711065494,6.908406129948059
ga,GA,C100-R000,50,50,6.230080494501185,10.153763097945504,6.230080494501185
heuristic,Heuristic,C000-R100,2,2,210.25481883403398,136.42895066955,210.25481883403398
heuristic,Heuristic,C025-R075,2,2,40.10016905997348,14.815890606115703,40.10016905997348
heuristic,Heuristic,C050-R050,26,26,42.647216350967625,27.14472019388397,42.647216350967625
heuristic,Heuristic,C075-R025,49,49,32.09221162816763,21.18283675054842,32.09221162816763
heuristic,Heuristic,C100-R000,50,50,28.800849268885774,21.68930563502146,28.800849268885774
ppo,Train-S,C000-R100,2,2,1.1419741728071195,1.6149953630628695,1.1419741728071195
ppo,Train-S,C025-R075,2,2,2.4942008348641975,2.1979768142422023,2.4942008348641975
ppo,Train-S,C050-R050,26,26,4.062381972654266,6.698211872356717,4.062381972654266
ppo,Train-S,C075-R025,49,49,0.9428601355885424,2.836607675347563,0.9428601355885424
ppo,Train-S,C100-R000,50,50,0.9580818483259824,3.326340240680705,0.9580818483259824
