model_id,test_scale,instance_index,preference_id,ppo_j,ga_j,delta_j_percent
Train-L,Test-1,0,C000-R100,0.45735968939559646,0.8401780755628229,45.56395808243175
Train-L,Test-1,0,C025-R075,0.8748548477689564,0.8748548477689564,0.0
Train-L,Test-1,0,C050-R050,0.909215549479024,0.909215549479024,0.0
Train-L,Test-1,0,C075-R025,0.9435762511890915,0.9435762511890915,0.0
Train-L,Test-1,0,C100-R000,0.9779369528991592,0.9779369528991592,0.0
Train-L,Test-1,1,C000-R100,0.1818091224627089,0.5410798437158976,66.39883659052533
Train-L,Test-1,1,C025-R075,0.4307389377247701,0.6073536457563554,29.079385505563533
Train-L,Test-1,1,C050-R050,0.5582348189435673,0.634190089661355,11.976735675315638
Train-L,Test-1,1,C075-R025,0.6664835881007352,0.6718627187413428,0.8006294277921637
Train-L,Test-1,1,C100-R000,0.6621958048114773,0.696362640267008,4.9064716398958454
Train-L,Test-1,2,C000-R100,0.21740010305088853,0.757350027715832,71.29463324817358
Train-L,Test-1,2,C025-R075,0.5752788978346254,0.786257827727166,26.833301043554254
Train-L,Test-1,2,C050-R050,0.7919165104733534,0.8066597399570097,1.8276887705393579
Train-L,Test-1,2,C075-R025,0.8031800591973374,0.8031800591973374,0.0
Train-L,Test-1,2,C100-R000,0.7997003784376648,0.8024026247557199,0.3367693767050808
Train-L,Test-1,3,C000-R100,0.4182932428991881,0.8772303650136956,52.31660239067789
Train-L,Test-1,3,C025-R075,0.717176798251642,0.8987073053022603,20.199068815799208
Train-L,Test-1,3,C050-R050,0.854118083374257,0.8805801199287959,3.0050685855454775
Train-L,Test-1,3,C075-R025,0.8350960660577692,0.8276141761145187,-0.9040311487143028
Train-L,Test-1,3,C100-R000,0.8204272823581967,0.7746360171973529,-5.911326628797546
Train-L,Test-1,4,C000-R100,0.25181693778386993,0.793325228706006,68.25804491373495
Train-L,Test-1,4,C025-R075,0.638696031805744,0.8090138252251654,21.052519513126793
Train-L,Test-1,4,C050-R050,0.8306374884545448,0.8558225272325101,2.9427875495877216
Train-L,Test-1,4,C075-R025,0.840676409114199,0.8907222805278622,5.618571861029995
Train-L,Test-1,4,C100-R000,0.8790770750200808,0.8843156201407835,0.5923840992279062
Train-L,Test-1,5,C000-R100,0.13417660547661617,0.6213196295549612,78.40457647012953
Train-L,Test-1,5,C025-R075,0.5766190102539354,0.7046088897510826,18.164669983423323
Train-L,Test-1,5,C050-R050,0.7742125827575196,0.7742125827575196,0.0
Train-L,Test-1,5,C075-R025,0.8466611712952082,0.8386878067899609,-0.9506951741393516
Train-L,Test-1,5,C100-R000,0.8633501713932511,0.8633501713932511,0.0
Train-L,Test-1,6,C000-R100,0.14970718335509167,0.5694536810587912,73.7103844729321
Train-L,Test-1,6,C025-R075,0.503737718906235,0.6228088308454137,19.11840456365224
Train-L,Test-1,6,C050-R050,0.6520016088921694,0.662418058073138,1.572488710719679
Train-L,Test-1,6,C075-R025,0.697657008122866,0.699062652143553,0.20107554256787005
Train-L,Test-1,6,C100-R000,0.7349799890201418,0.7422429495771959,0.9785152639295951
Train-L,Test-1,7,C000-R100,0.29113119572045654,0.8821536149729529,66.99767582663222
Train-L,Test-1,7,C025-R075,0.6216756048159789,0.8963012745082669,30.63988387642921
Train-L,Test-1,7,C050-R050,0.8552164952082449,0.9246223544045754,7.506400733846136
Train-L,Test-1,7,C075-R025,0.8972941200186327,0.9188823427864671,2.349400109525348
Train-L,Test-1,7,C100-R000,0.8611469790412958,0.8588747291070767,-0.26456127502800886
Train-L,Test-1,8,C000-R100,0.3019712935129715,0.8028896532452743,62.389440156264854
Train-L,Test-1,8,C025-R075,0.7449488309086645,0.8500602507780702,12.365172912531321
Train-L,Test-1,8,C050-R050,0.8972308483108661,0.8972308483108661,0.0
Train-L,Test-1,8,C075-R025,0.9444014458436621,0.9444014458436621,0.0
Train-L,Test-1,8,C100-R000,0.8874407988132665,0.9776276420162214,9.225070909099607
Train-L,Test-1,9,C000-R100,0.32604813303802976,0.7399424146311229,55.936012507058166
Train-L,Test-1,9,C025-R075,0.5954347728390612,0.760867398116384,21.742635535031543
Train-L,Test-1,9,C050-R050,0.7368025598997777,0.75240132032642,2.0731968439229997
Train-L,Test-1,9,C075-R025,0.7069278979610635,0.7069278979610635,0.0
Train-L,Test-1,9,C100-R000,0.6666289783468392,0.6666289783468392,0.0
Train-L,Test-1,10,C000-R100,0.2941919499680514,0.6307760454219464,53.360316691916076
Train-L,Test-1,10,C025-R075,0.5624841196199628,0.7062235767698187,20.353250992738424
Train-L,Test-1,10,C050-R050,0.6422137938288615,0.750231470905776,14.397913346197235
Train-L,Test-1,10,C075-R025,0.6636915129675267,0.6983218929280346,4.959085532218408
Train-L,Test-1,10,C100-R000,0.661980289082523,0.6881430276153843,3.801933243954054
