model_id,test_scale,preference_id,expected_paired_n,paired_n,mean_delta_j_percent,sample_sd_delta_j_percent,conditional_mean_delta_j_percent
Train-L,Test-1,C000-R100,50,50,65.22353516810406,11.28130713036427,65.22353516810406
Train-L,Test-1,C025-R075,50,50,20.983309491011756,10.707857437230432,20.983309491011756
Train-L,Test-1,C050-R050,50,50,5.336104897763509,6.218213291872432,5.336104897763509
Train-L,Test-1,C075-R025,50,50,3.7819536766216424,6.475775836419168,3.7819536766216424
Train-L,Test-1,C100-R000,50,50,3.9080430674540616,7.453995771999985,3.9080430674540616
Train-L,Test-2,C000-R100,50,50,73.45250802116666,6.757594763885189,73.45250802116666
Train-L,Test-2,C025-R075,50,50,21.17700751383342,7.268526489288105,21.17700751383342
Train-L,Test-2,C050-R050,50,50,7.566165548111695,4.416932186388044,7.566165548111695
Train-L,Test-2,C075-R025,50,50,7.4966960851606395,5.532630824222471,7.4966960851606395
Train-L,Test-2,C100-R000,50,50,7.859882102793002,6.395994139364871,7.859882102793002
Train-L,Test-3,C000-R100,50,50,60.35241835198648,2.89027551511149,60.35241835198648
Train-L,Test-3,C025-R075,50,50,23.87451026336378,3.2544037568649,23.87451026336378
Train-L,Test-3,C050-R050,50,50,18.272770945812635,3.2475943770254125,18.272770945812635
Train-L,Test-3,C075-R025,50,50,17.218104032777116,4.6398936480601805,17.218104032777116
Train-L,Test-3,C100-R000,50,50,17.365056307708006,5.196029066518821,17.365056307708006
Train-L,Test-4,C000-R100,50,50,46.22089786913054,2.0489383154196577,46.22089786913054
Train-L,Test-4,C025-R075,50,50,27.534160811123808,2.346660916014286,27.534160811123808
Train-L,Test-4,C050-R050,50,50,21.072267646958075,2.1911457698144363,21.072267646958075
Train-L,Test-4,C075-R025,50,50,19.311527618132626,2.9835449604458564,19.311527618132626
Train-L,Test-4,C100-R000,50,50,18.807454120062935,2.7253163103122353,18.807454120062935
Train-S,Test-1,C000-R100,50,50,66.75194150563902,11.433958149150106,66.75194150563902
Train-S,Test-1,C025-R075,50,50,22.645576275408526,11.196984489531927,22.645576275408526
Train-S,Test-1,C050-R050,50,50,6.41818253624552,6.773505498324168,6.41818253624552
Train-S,Test-1,C075-R025,50,50,4.858595685673506,7.3045077086867884,4.858595685673506
Train-S,Test-1,C100-R000,50,50,4.28628872059581,7.702926237940945,4.28628872059581
Train-S,Test-2,C000-R100,50,50,73.7660892393627,6.140230917840029,73.7660892393627
Train-S,Test-2,C025-R075,50,50,22.633425361618716,7.5192414153015354,22.633425361618716
Train-S,Test-2,C050-R050,50,50,8.700750916125964,4.864946133470043,8.700750916125964
Train-S,Test-2,C075-R025,50,50,7.9732260616242705,6.114128319198861,7.9732260616242705
Train-S,Test-2,C100-R000,50,50,8.356877337179588,7.359978918585065,8.356877337179588
Train-S,Test-3,C000-R100,50,50,60.71454330896996,2.706894913583852,60.71454330896996
Train-S,Test-3,C025-R075,50,50,25.128673090404224,3.5356512507891495,25.128673090404224
Train-S,Test-3,C050-R050,50,50,19.073544934888698,4.089271562899006,19.073544934888698
Train-S,Test-3,C075-R025,50,50,17.380222892460175,5.484757613971296,17.380222892460175
Train-S,Test-3,C100-R000,50,50,17.725426971722676,5.666577249519598,17.725426971722676
Train-S,Test-4,C000-R100,50,50,48.442791897471785,2.2794133568674235,48.442791897471785
Train-S,Test-4,C025-R075,50,50,28.856878522059414,3.166942536169834,28.856878522059414
Train-S,Test-4,C050-R050,50,50,22.41438665155002,2.7141950893027187,22.41438665155002
Train-S,Test-4,C075-R025,50,50,19.442409749456903,3.4683077196715413,19.442409749456903
Train-S,Test-4,C100-R000,50,50,18.75000424397117,4.555470383553548,18.75000424397117
