experiment,method,method_id,model_id,test_scale,preference_id,preference,cost_mean,cost_sd,cost_mean_sd,risk_mean,risk_sd,risk_mean_sd,j_mean,j_sd,j_mean_sd,strict_feasible_percent,strict_feasible_sd_percent,terminal_clear_percent,terminal_clear_sd_percent,time_measurement,solve_segment_seconds_mean,solve_segment_seconds_sd,solve_segment_seconds_mean_sd,initialization_seconds_mean,initialization_seconds_sd,initialization_seconds_mean_sd,quality_complete_n,expected_n,gap_percent_mean,gap_percent_sd,gap_valid_n,gap_mean_sd,solver_status_scope,solve_segment_concurrency_scope,outcome_disclosure,technical_failure_instances,infeasible_instances,missing_instances,incomplete_quality_instances,technical_failure_instance_preferences,infeasible_instance_preferences,missing_instance_preferences,incomplete_quality_instance_preferences
E1,PPO-Transformer (Train-S),ppo,Train-S,Test-1,C100-R000,"(1,0)",1233.839972,171.2388882,1233.84 ± 171.24,10.01673136,2.982144212,10.017 ± 2.982,0.804430516,0.1279547753,0.8044 ± 0.1280,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),20.10601198,3.424763047,20.1060 ± 3.4248,,,,50,50,0.9580818483,3.326340241,50,0.96 ± 3.33,,纳入最终时间口径批次=3，整批墙钟合计=18914.641s：batch1[methods=ppo; models=all; scales=all; workers=4; 该方法完成数=60; 整批墙钟=172.543s; max_cells=60; concurrent_ppo=true]；batch2[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=120; 整批墙钟=334.695s; max_cells=120; concurrent_ppo=true]；batch3[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=5820; 整批墙钟=18407.403s; concurrent_ppo=true]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,PPO-Transformer (Train-S),ppo,Train-S,Test-1,C075-R025,"(0.75,0.25)",1241.977723,176.041929,1241.98 ± 176.04,8.027319509,2.074318351,8.027 ± 2.074,0.784571245,0.1182443153,0.7846 ± 0.1182,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),20.36926305,3.061202469,20.3693 ± 3.0612,,,,50,50,0.9428601356,2.836607675,49,0.94 ± 2.84,,纳入最终时间口径批次=3，整批墙钟合计=18914.641s：batch1[methods=ppo; models=all; scales=all; workers=4; 该方法完成数=60; 整批墙钟=172.543s; max_cells=60; concurrent_ppo=true]；batch2[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=120; 整批墙钟=334.695s; max_cells=120; concurrent_ppo=true]；batch3[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=5820; 整批墙钟=18407.403s; concurrent_ppo=true]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,PPO-Transformer (Train-S),ppo,Train-S,Test-1,C050-R050,"(0.5,0.5)",1346.39028,197.8852523,1346.39 ± 197.89,7.031556281,2.214044769,7.032 ± 2.214,0.745031476,0.1086165006,0.7450 ± 0.1086,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),20.39943586,3.010144157,20.3994 ± 3.0101,,,,50,50,4.062381973,6.698211872,26,4.06 ± 6.70,,纳入最终时间口径批次=3，整批墙钟合计=18914.641s：batch1[methods=ppo; models=all; scales=all; workers=4; 该方法完成数=60; 整批墙钟=172.543s; max_cells=60; concurrent_ppo=true]；batch2[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=120; 整批墙钟=334.695s; max_cells=120; concurrent_ppo=true]；batch3[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=5820; 整批墙钟=18407.403s; concurrent_ppo=true]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,PPO-Transformer (Train-S),ppo,Train-S,Test-1,C025-R075,"(0.25,0.75)",1917.789018,349.1775047,1917.79 ± 349.18,4.235451555,2.262132922,4.235 ± 2.262,0.579328892,0.1099225559,0.5793 ± 0.1099,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),20.6255959,2.988304255,20.6256 ± 2.9883,,,,50,50,2.494200835,2.197976814,2,2.49 ± 2.20,,纳入最终时间口径批次=3，整批墙钟合计=18914.641s：batch1[methods=ppo; models=all; scales=all; workers=4; 该方法完成数=60; 整批墙钟=172.543s; max_cells=60; concurrent_ppo=true]；batch2[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=120; 整批墙钟=334.695s; max_cells=120; concurrent_ppo=true]；batch3[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=5820; 整批墙钟=18407.403s; concurrent_ppo=true]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,PPO-Transformer (Train-S),ppo,Train-S,Test-1,C000-R100,"(0,1)",2782.642668,474.7717079,2782.64 ± 474.77,2.667510592,1.354236959,2.668 ± 1.354,0.2298424507,0.09023482544,0.2298 ± 0.0902,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),20.75291485,3.015722326,20.7529 ± 3.0157,,,,50,50,1.141974173,1.614995363,2,1.14 ± 1.61,,纳入最终时间口径批次=3，整批墙钟合计=18914.641s：batch1[methods=ppo; models=all; scales=all; workers=4; 该方法完成数=60; 整批墙钟=172.543s; max_cells=60; concurrent_ppo=true]；batch2[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=120; 整批墙钟=334.695s; max_cells=120; concurrent_ppo=true]；batch3[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=5820; 整批墙钟=18407.403s; concurrent_ppo=true]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,GA,ga,GA,Test-1,C100-R000,"(1,0)",1292.57008,170.3452391,1292.57 ± 170.35,10.45232115,3.2032822,10.452 ± 3.203,0.8390810414,0.1046591431,0.8391 ± 0.1047,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),1.113972598,0.1051193221,1.1140 ± 0.1051,,,,50,50,6.230080495,10.1537631,50,6.23 ± 10.15,,"纳入最终时间口径批次=1，整批墙钟合计=1447.723s：batch4[methods=ga; models=GA; scales=Test-1,Test-2,Test-3,Test-4; workers=16; 该方法完成数=3000; 整批墙钟=1447.723s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无",技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,GA,ga,GA,Test-1,C075-R025,"(0.75,0.25)",1304.541512,174.1163948,1304.54 ± 174.12,8.578816417,2.299194655,8.579 ± 2.299,0.8230500653,0.09342291236,0.8231 ± 0.0934,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),1.147008007,0.07437138816,1.1470 ± 0.0744,,,,50,50,6.90840613,9.738513711,49,6.91 ± 9.74,,"纳入最终时间口径批次=1，整批墙钟合计=1447.723s：batch4[methods=ga; models=GA; scales=Test-1,Test-2,Test-3,Test-4; workers=16; 该方法完成数=3000; 整批墙钟=1447.723s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无",技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,GA,ga,GA,Test-1,C050-R050,"(0.5,0.5)",1328.786416,174.1377339,1328.79 ± 174.14,8.296449292,2.217660351,8.296 ± 2.218,0.7949590805,0.09075100424,0.7950 ± 0.0908,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),1.130957661,0.07175139436,1.1310 ± 0.0718,,,,50,50,12.67243206,15.67930544,26,12.67 ± 15.68,,"纳入最终时间口径批次=1，整批墙钟合计=1447.723s：batch4[methods=ga; models=GA; scales=Test-1,Test-2,Test-3,Test-4; workers=16; 该方法完成数=3000; 整批墙钟=1447.723s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无",技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,GA,ga,GA,Test-1,C025-R075,"(0.25,0.75)",1394.666896,171.4853384,1394.67 ± 171.49,7.987536523,2.211807388,7.988 ± 2.212,0.7508151158,0.1024614838,0.7508 ± 0.1025,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),1.146767619,0.07459166834,1.1468 ± 0.0746,,,,50,50,10.63242849,7.536750457,2,10.63 ± 7.54,,"纳入最终时间口径批次=1，整批墙钟合计=1447.723s：batch4[methods=ga; models=GA; scales=Test-1,Test-2,Test-3,Test-4; workers=16; 该方法完成数=3000; 整批墙钟=1447.723s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无",技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,GA,ga,GA,Test-1,C000-R100,"(0,1)",1489.317746,212.3857973,1489.32 ± 212.39,7.913578927,2.193801038,7.914 ± 2.194,0.6933072209,0.1215576652,0.6933 ± 0.1216,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),1.147035562,0.08498754398,1.1470 ± 0.0850,,,,50,50,113.4754632,42.7057032,2,113.48 ± 42.71,,"纳入最终时间口径批次=1，整批墙钟合计=1447.723s：batch4[methods=ga; models=GA; scales=Test-1,Test-2,Test-3,Test-4; workers=16; 该方法完成数=3000; 整批墙钟=1447.723s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无",技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,启发式,heuristic,Heuristic,Test-1,C100-R000,"(1,0)",1561.16565,265.6352147,1561.17 ± 265.64,11.77588257,3.787906083,11.776 ± 3.788,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.000151928009,1.892371115e-05,0.0002 ± 0.0000,50,50,28.80084927,21.68930564,50,28.80 ± 21.69,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,启发式,heuristic,Heuristic,Test-1,C075-R025,"(0.75,0.25)",1561.16565,265.6352147,1561.17 ± 265.64,11.77588257,3.787906083,11.776 ± 3.788,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.000151928009,1.892371115e-05,0.0002 ± 0.0000,50,50,32.09221163,21.18283675,49,32.09 ± 21.18,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,启发式,heuristic,Heuristic,Test-1,C050-R050,"(0.5,0.5)",1561.16565,265.6352147,1561.17 ± 265.64,11.77588257,3.787906083,11.776 ± 3.788,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.000151928009,1.892371115e-05,0.0002 ± 0.0000,50,50,42.64721635,27.14472019,26,42.65 ± 27.14,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E1,启发式,heuristic,Heuristic,Test-1,C025-R075,"(0.25,0.75)",1561.16565,265.6352147,1561.17 ± 265.64,11.77588257,3.787906083,11.776 ± 3.788,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.000151928009,1.892371115e-05,0.0002 ± 0.0000,50,50,40.10016906,14.81589061,2,40.10 ± 14.82,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
