experiment,method,method_id,model_id,test_scale,preference_id,preference,risk_mean,risk_sd,risk_n,risk_mean_sd,solver_status_scope,transport_risk_mean,transport_risk_sd,transport_risk_pct_share,transport_risk_mean_sd_share,coload_risk_mean,coload_risk_sd,coload_risk_pct_share,coload_risk_mean_sd_share,producer_inventory_risk_mean,producer_inventory_risk_sd,producer_inventory_risk_pct_share,producer_inventory_risk_mean_sd_share,facility_inventory_risk_mean,facility_inventory_risk_sd,facility_inventory_risk_pct_share,facility_inventory_risk_mean_sd_share
E1,PPO-Transformer (Train-S),ppo,Train-S,Test-1,C100-R000,"(1,0)",10.01673136,2.982144212,50,10.017 ± 2.982,,5.132098218,2.456490517,51.23525864,5.132 ± 2.456 (51.2%),0.2564019389,0.2719275447,2.559736602,0.256 ± 0.272 (2.6%),4.6282312,1.260434742,46.20500476,4.628 ± 1.260 (46.2%),0,0,0,0.000 ± 0.000 (0.0%)
E1,PPO-Transformer (Train-S),ppo,Train-S,Test-1,C075-R025,"(0.75,0.25)",8.027319509,2.074318351,50,8.027 ± 2.074,,3.288883762,1.44556208,40.97113312,3.289 ± 1.446 (41.0%),0.1346135402,0.1776501437,1.676942596,0.135 ± 0.178 (1.7%),4.603822207,1.256160542,57.35192428,4.604 ± 1.256 (57.4%),0,0,0,0.000 ± 0.000 (0.0%)
E1,PPO-Transformer (Train-S),ppo,Train-S,Test-1,C050-R050,"(0.5,0.5)",7.031556281,2.214044769,50,7.032 ± 2.214,,2.931482507,1.374423557,41.69037962,2.931 ± 1.374 (41.7%),0.1210588137,0.1375942943,1.721650355,0.121 ± 0.138 (1.7%),3.97901496,1.323032402,56.58797002,3.979 ± 1.323 (56.6%),0,0,0,0.000 ± 0.000 (0.0%)
E1,PPO-Transformer (Train-S),ppo,Train-S,Test-1,C025-R075,"(0.25,0.75)",4.235451555,2.262132922,50,4.235 ± 2.262,,2.720621647,1.363413508,64.23451223,2.721 ± 1.363 (64.2%),0.1074403878,0.08988104159,2.536692638,0.107 ± 0.090 (2.5%),1.40738952,1.096388912,33.22879513,1.407 ± 1.096 (33.2%),0,0,0,0.000 ± 0.000 (0.0%)
E1,PPO-Transformer (Train-S),ppo,Train-S,Test-1,C000-R100,"(0,1)",2.667510592,1.354236959,50,2.668 ± 1.354,,2.495935057,1.294241354,93.567953,2.496 ± 1.294 (93.6%),0.06337216175,0.05192466888,2.375704221,0.063 ± 0.052 (2.4%),0.1082033733,0.1895565932,4.056342781,0.108 ± 0.190 (4.1%),0,0,0,0.000 ± 0.000 (0.0%)
E1,GA,ga,GA,Test-1,C100-R000,"(1,0)",10.45232115,3.2032822,50,10.452 ± 3.203,,5.526840664,2.593584284,52.87668247,5.527 ± 2.594 (52.9%),0.2972492833,0.3139683318,2.843859073,0.297 ± 0.314 (2.8%),4.6282312,1.260434742,44.27945845,4.628 ± 1.260 (44.3%),0,0,0,0.000 ± 0.000 (0.0%)
E1,GA,ga,GA,Test-1,C075-R025,"(0.75,0.25)",8.578816417,2.299194655,50,8.579 ± 2.299,,3.755344478,1.523366725,43.77462223,3.755 ± 1.523 (43.8%),0.1952407382,0.2417842892,2.275847025,0.195 ± 0.242 (2.3%),4.6282312,1.260434742,53.94953074,4.628 ± 1.260 (53.9%),0,0,0,0.000 ± 0.000 (0.0%)
E1,GA,ga,GA,Test-1,C050-R050,"(0.5,0.5)",8.296449292,2.217660351,50,8.296 ± 2.218,,3.518439407,1.524824661,42.40897862,3.518 ± 1.525 (42.4%),0.1497786857,0.1757600052,1.805334793,0.150 ± 0.176 (1.8%),4.6282312,1.260434742,55.78568659,4.628 ± 1.260 (55.8%),0,0,0,0.000 ± 0.000 (0.0%)
E1,GA,ga,GA,Test-1,C025-R075,"(0.25,0.75)",7.987536523,2.211807388,50,7.988 ± 2.212,,3.234252626,1.563551913,40.49124053,3.234 ± 1.564 (40.5%),0.1250526971,0.1365769203,1.565597813,0.125 ± 0.137 (1.6%),4.6282312,1.260434742,57.94316166,4.628 ± 1.260 (57.9%),0,0,0,0.000 ± 0.000 (0.0%)
E1,GA,ga,GA,Test-1,C000-R100,"(0,1)",7.913578927,2.193801038,50,7.914 ± 2.194,,3.173203035,1.547606938,40.09820417,3.173 ± 1.548 (40.1%),0.112144692,0.1089755407,1.417117249,0.112 ± 0.109 (1.4%),4.6282312,1.260434742,58.48467858,4.628 ± 1.260 (58.5%),0,0,0,0.000 ± 0.000 (0.0%)
E1,启发式,heuristic,Heuristic,Test-1,C100-R000,"(1,0)",11.77588257,3.787906083,50,11.776 ± 3.788,,6.790835948,2.931021874,57.66732054,6.791 ± 2.931 (57.7%),0.3568154214,0.4266169395,3.030052476,0.357 ± 0.427 (3.0%),4.6282312,1.260434742,39.30262698,4.628 ± 1.260 (39.3%),0,0,0,0.000 ± 0.000 (0.0%)
E1,启发式,heuristic,Heuristic,Test-1,C075-R025,"(0.75,0.25)",11.77588257,3.787906083,50,11.776 ± 3.788,,6.790835948,2.931021874,57.66732054,6.791 ± 2.931 (57.7%),0.3568154214,0.4266169395,3.030052476,0.357 ± 0.427 (3.0%),4.6282312,1.260434742,39.30262698,4.628 ± 1.260 (39.3%),0,0,0,0.000 ± 0.000 (0.0%)
