hypothesis_id,metric_name,metric_value,metric_se,component,pct_share,source_table,source_figure,script,notes
E1,ppo_j_mean.C100-R000,0.804430516,0.01809553786,PPO-Transformer,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,preference=C100-R000; independent-instance unit; primary fields only
E1,ga_j_mean.C100-R000,0.8390810414,0.01480103795,GA,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,preference=C100-R000; independent-instance unit; primary fields only
E1,ppo_gap_percent.C100-R000,0.9580818483,0.4704155481,PPO-Transformer,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,preference=C100-R000; independent-instance unit; primary fields only; MILP-optimal references only
E1,ga_gap_percent.C100-R000,6.230080495,1.435958948,GA,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,preference=C100-R000; independent-instance unit; primary fields only; MILP-optimal references only
E1,delta_j_percent.C100-R000,4.286288721,1.089358276,PPO vs GA,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,preference=C100-R000; independent-instance unit; primary fields only; positive means lower PPO J
E1,ppo_feasible_percent.C100-R000,100,0,PPO-Transformer,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,preference=C100-R000; independent-instance unit; primary fields only
E1,ga_feasible_percent.C100-R000,100,0,GA,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,preference=C100-R000; independent-instance unit; primary fields only
E1,ppo_runtime_seconds.C100-R000,20.10601198,0.4843346349,PPO-Transformer,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,preference=C100-R000; independent-instance unit; primary fields only; 并发条件下求解段观测时间(runtime_seconds); 纳入最终时间口径批次=3，整批墙钟合计=18914.641s：batch1[methods=ppo; models=all; scales=all; workers=4; 该方法完成数=60; 整批墙钟=172.543s; max_cells=60; concurrent_ppo=true]；batch2[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=120; 整批墙钟=334.695s; max_cells=120; concurrent_ppo=true]；batch3[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=5820; 整批墙钟=18407.403s; concurrent_ppo=true]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无
E1,ga_runtime_seconds.C100-R000,1.113972598,0.01486611709,GA,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,"preference=C100-R000; independent-instance unit; primary fields only; 并发条件下求解段观测时间(runtime_seconds); 纳入最终时间口径批次=1，整批墙钟合计=1447.723s：batch4[methods=ga; models=GA; scales=Test-1,Test-2,Test-3,Test-4; workers=16; 该方法完成数=3000; 整批墙钟=1447.723s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无"
E1,milp_runtime_seconds.C100-R000,15.4795726,1.673056264,MILP,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,preference=C100-R000; independent-instance unit; primary fields only; 并发条件下求解段观测时间(runtime_seconds); 纳入最终时间口径批次=1，整批墙钟合计=3651.461s：batch6[methods=milp; models=MILP; scales=Test-1; workers=8; 该方法完成数=250; 整批墙钟=3651.461s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无
E1,milp_optimal_percent.C100-R000,100,,MILP,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,preference=C100-R000; independent-instance unit; primary fields only; optimal_n=50/50
E1,ppo_technical_failure_instances.C100-R000,0,,PPO-Transformer,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,preference=C100-R000; independent-instance unit; primary fields only; diagnostic instance count
E1,ppo_infeasible_instances.C100-R000,0,,PPO-Transformer,,table3_small_scale.csv,,output/supplementary-experiments/scripts/build_paper_tables.py,preference=C100-R000; independent-instance unit; primary fields only; diagnostic instance count
