scale,instance,iteration,episode_reward,best_objective
small,0,0,-1.803213119506836,1200.7691832117684
small,0,1,-1.8086081743240356,178.15622969613273
small,0,2,-1.8055129051208496,1161.7267683492382
small,0,3,-2.603236198425293,1152.347891364061
small,0,4,0.505998969078064,654.185471161018
small,0,5,-0.9580911993980408,1701.9976151545918
small,0,6,-2.701815128326416,497.1625606576844
small,0,7,-1.6833360195159912,668.2088514667602
small,0,8,-0.8504042029380798,1313.0913241569244
small,0,9,-0.7359497547149658,1347.4549052693906
small,0,10,0.16974174976348877,1005.0018320663469
small,0,11,0.09077680110931396,239.78219986781875
small,0,12,-1.679612159729004,1685.2561319383058
small,0,13,-1.9304885864257812,1327.4533498956293
small,0,14,0.39537620544433594,1324.4758704919802
small,0,15,-0.5770335793495178,294.42779172721924
small,0,16,0.1492956131696701,1116.055894260099
small,0,17,0.5470564365386963,1522.310170025256
small,0,18,0.17644166946411133,627.421224904694
small,0,19,-0.7629808187484741,986.2120553629093
large,0,0,-2.0440423488616943,11897.49210914342
large,0,1,-1.972625494003296,6593.1611095837025
large,0,2,-2.959402084350586,14894.415762903584
large,0,3,-3.9981067180633545,11333.175894020755
large,0,4,-1.0171096324920654,22835.88176443228
large,0,5,-4.911345481872559,8134.815178760953
large,0,6,-3.0282623767852783,15697.864029278067
large,0,7,-2.0303502082824707,18193.94100073314
large,0,8,-1.9188835620880127,19957.979728135426
large,0,9,-4.982677459716797,18610.60453944954
large,0,10,-3.9655954837799072,5323.852397072251
large,0,11,-1.966118574142456,18179.98138019151
large,0,12,-2.0177981853485107,26580.161188746275
large,0,13,-3.014258623123169,29497.403648706484
large,0,14,-1.9643027782440186,6440.1910055895005
large,0,15,-2.984896183013916,14093.927784994597
large,0,16,-2.9532930850982666,13961.018477818161
large,0,17,-2.9473257064819336,17007.881434125968
large,0,18,-1.962423324584961,25690.368051345835
large,0,19,0.018823686987161636,26072.109428782824
