scale,variant,iteration,episode_reward,best_objective
small,full_transformer,0,-10.817911065726737,30.87358108095367
small,full_transformer,1,-9.547649037747162,16.79094651087841
small,full_transformer,2,-10.247349600417992,52.56705095883587
small,full_transformer,3,-10.082290120588885,11.028910584825935
small,full_transformer,4,-9.21318283113386,44.32070861077356
small,full_transformer,5,-9.50667795949897,13.921820547379747
small,full_transformer,6,-9.59875598989546,47.90089467228473
small,full_transformer,7,-8.738998089141806,19.555587612517726
small,full_transformer,8,-8.562440781470439,53.71909030881861
small,full_transformer,9,-9.058350227000618,59.31471259127257
small,full_transformer,10,-8.683166886026017,23.23786283803547
small,full_transformer,11,-8.73561320139095,25.73437032880036
small,full_transformer,12,-8.33035514381776,48.74092068732105
small,full_transformer,13,-8.79453250575415,26.180601329263766
small,full_transformer,14,-7.670590266301445,97.35694917432102
small,full_transformer,15,-7.896787809585066,17.057964300607683
small,full_transformer,16,-7.2267108728986384,11.594698359094043
small,full_transformer,17,-7.489604769995865,88.16262157090267
small,full_transformer,18,-6.846976471773802,49.94278383741522
small,full_transformer,19,-7.161120793973821,18.913766305502172
small,hybrid_transformer_fc,0,-10.442489637408405,30.178135235645282
small,hybrid_transformer_fc,1,-9.70684541508195,16.283866885263183
small,hybrid_transformer_fc,2,-9.240147436437288,52.31201207455004
small,hybrid_transformer_fc,3,-8.868728449569906,11.19718107296116
small,hybrid_transformer_fc,4,-9.281716645734802,43.97999861156663
small,hybrid_transformer_fc,5,-8.689866494828449,14.032859567468854
small,hybrid_transformer_fc,6,-9.59590550734271,47.90089467228473
small,hybrid_transformer_fc,7,-9.022516294068526,20.430209338521337
small,hybrid_transformer_fc,8,-8.57257344412316,54.16747138271384
small,hybrid_transformer_fc,9,-9.000371353350204,59.31471259127257
small,hybrid_transformer_fc,10,-8.841377999868403,21.65443832365206
small,hybrid_transformer_fc,11,-8.89887679922486,25.654688772342496
small,hybrid_transformer_fc,12,-7.854647343626372,47.332674431768496
small,hybrid_transformer_fc,13,-7.844681252800089,24.156933360759865
small,hybrid_transformer_fc,14,-7.749207742646846,88.94491989811856
small,hybrid_transformer_fc,15,-8.033841524013415,16.485352496340614
small,hybrid_transformer_fc,16,-7.653642243685814,10.998972131707184
small,hybrid_transformer_fc,17,-7.886705823819438,79.1486659325435
small,hybrid_transformer_fc,18,-7.886065603235172,46.66718154000651
small,hybrid_transformer_fc,19,-6.982329746300683,18.181988141486755
small,no_preference_token,0,-10.752205720195532,30.87358108095367
small,no_preference_token,1,-9.890724427175126,16.671923063317852
small,no_preference_token,2,-9.831026244548504,47.32978614485466
small,no_preference_token,3,-9.725097259572372,11.028910584825935
small,no_preference_token,4,-9.654766919043597,43.97999861156663
small,no_preference_token,5,-8.999291924059078,14.517886033643295
small,no_preference_token,6,-9.232503108246872,44.24339099791018
small,no_preference_token,7,-8.910106178888059,19.038618342064698
small,no_preference_token,8,-8.035519362737926,49.315055922644056
small,no_preference_token,9,-8.974683455578448,64.87778855369581
small,no_preference_token,10,-8.342911090457793,22.353507597208697
small,no_preference_token,11,-8.85715494285318,26.30045757662279
small,no_preference_token,12,-7.758499120827124,49.92799723820721
small,no_preference_token,13,-8.149317030113663,26.241896263238292
small,no_preference_token,14,-7.316086927762135,87.22789278753706
small,no_preference_token,15,-7.725333717856322,17.057964300607683
small,no_preference_token,16,-7.4795437491006025,11.594698359094043
small,no_preference_token,17,-7.966941078691603,79.39490116310898
small,no_preference_token,18,-7.619801857749862,47.811876964975184
small,no_preference_token,19,-6.996408231047888,18.181988141486755
small,no_route_arc_tokens,0,-10.482874783722009,31.423216879591877
small,no_route_arc_tokens,1,-9.547912921495158,15.70148872767933
small,no_route_arc_tokens,2,-9.580779327011777,50.773242516802554
small,no_route_arc_tokens,3,-9.336081429871141,11.46341987902576
small,no_route_arc_tokens,4,-8.808146940156574,42.43195278986909
small,no_route_arc_tokens,5,-9.328302912712221,14.806491376674341
small,no_route_arc_tokens,6,-9.093568931025585,47.62167874783453
small,no_route_arc_tokens,7,-9.33256577872691,20.430209338521337
small,no_route_arc_tokens,8,-8.715166172824413,52.01367019985342
small,no_route_arc_tokens,9,-8.809439341217994,63.30769957580019
small,no_route_arc_tokens,10,-8.275388256925819,23.23786283803547
small,no_route_arc_tokens,11,-8.083326493326414,25.63131275820851
small,no_route_arc_tokens,12,-8.388381437284009,46.58375723279665
small,no_route_arc_tokens,13,-7.638201005499579,26.241896263238292
small,no_route_arc_tokens,14,-8.058445114471892,98.53041050864843
small,no_route_arc_tokens,15,-7.962168828851686,17.057964300607683
small,no_route_arc_tokens,16,-7.829046381365161,11.594698359094043
small,no_route_arc_tokens,17,-7.793901157055199,78.08807852400061
small,no_route_arc_tokens,18,-6.866883607011657,47.19202018706089
small,no_route_arc_tokens,19,-7.304923514240307,18.455429800295786
large,full_transformer,0,-24.0,2412.2206163810397
large,full_transformer,1,-24.0,2154.0830194506216
large,full_transformer,2,-24.0,2807.5220363922003
large,full_transformer,3,-24.0,2063.4244580849595
large,full_transformer,4,-24.0,2660.6345599654815
large,full_transformer,5,-24.0,2119.2885444670305
large,full_transformer,6,-24.0,2719.6381870461837
large,full_transformer,7,-24.0,2219.327582549562
large,full_transformer,8,-24.0,2834.891760805434
large,full_transformer,9,-24.0,3022.787667959525
large,full_transformer,10,-24.0,2267.120127219017
large,full_transformer,11,-24.0,2336.1460143222125
large,full_transformer,12,-24.0,2777.374518092628
large,full_transformer,13,-24.0,2319.7913940375606
large,full_transformer,14,-24.0,3647.2774762112404
large,full_transformer,15,-24.0,2158.764780022969
large,full_transformer,16,-24.0,2062.9745216017604
large,full_transformer,17,-24.0,3440.8104509490313
large,full_transformer,18,-24.0,2766.0081482991745
large,full_transformer,19,-24.0,2191.3035133613257
large,hybrid_transformer_fc,0,-24.0,2412.2206163810397
large,hybrid_transformer_fc,1,-24.0,2154.0830194506216
large,hybrid_transformer_fc,2,-24.0,2807.5220363922003
large,hybrid_transformer_fc,3,-24.0,2063.4244580849595
large,hybrid_transformer_fc,4,-24.0,2660.6345599654815
large,hybrid_transformer_fc,5,-24.0,2119.2885444670305
large,hybrid_transformer_fc,6,-24.0,2719.6381870461837
large,hybrid_transformer_fc,7,-24.0,2219.327582549562
large,hybrid_transformer_fc,8,-24.0,2834.891760805434
large,hybrid_transformer_fc,9,-24.0,3022.787667959525
large,hybrid_transformer_fc,10,-24.0,2267.120127219017
large,hybrid_transformer_fc,11,-24.0,2336.1460143222125
large,hybrid_transformer_fc,12,-24.0,2777.374518092628
large,hybrid_transformer_fc,13,-24.0,2319.7913940375606
large,hybrid_transformer_fc,14,-24.0,3647.2774762112404
large,hybrid_transformer_fc,15,-24.0,2158.764780022969
large,hybrid_transformer_fc,16,-24.0,2062.9745216017604
large,hybrid_transformer_fc,17,-24.0,3440.8104509490313
large,hybrid_transformer_fc,18,-24.0,2766.0081482991745
large,hybrid_transformer_fc,19,-24.0,2191.3035133613257
large,no_preference_token,0,-24.0,2412.2206163810397
large,no_preference_token,1,-24.0,2154.0830194506216
large,no_preference_token,2,-24.0,2807.5220363922003
large,no_preference_token,3,-24.0,2063.4244580849595
large,no_preference_token,4,-24.0,2660.6345599654815
large,no_preference_token,5,-24.0,2119.2885444670305
large,no_preference_token,6,-24.0,2719.6381870461837
large,no_preference_token,7,-24.0,2219.327582549562
large,no_preference_token,8,-24.0,2834.891760805434
large,no_preference_token,9,-24.0,3022.787667959525
large,no_preference_token,10,-24.0,2267.120127219017
large,no_preference_token,11,-24.0,2336.1460143222125
large,no_preference_token,12,-24.0,2777.374518092628
large,no_preference_token,13,-24.0,2319.7913940375606
large,no_preference_token,14,-24.0,3647.2774762112404
large,no_preference_token,15,-24.0,2158.764780022969
large,no_preference_token,16,-24.0,2062.9745216017604
large,no_preference_token,17,-24.0,3440.8104509490313
large,no_preference_token,18,-24.0,2766.0081482991745
large,no_preference_token,19,-24.0,2191.3035133613257
large,no_route_arc_tokens,0,-24.0,2412.2206163810397
large,no_route_arc_tokens,1,-24.0,2154.0830194506216
large,no_route_arc_tokens,2,-24.0,2807.5220363922003
large,no_route_arc_tokens,3,-24.0,2063.4244580849595
large,no_route_arc_tokens,4,-24.0,2660.6345599654815
large,no_route_arc_tokens,5,-24.0,2119.2885444670305
large,no_route_arc_tokens,6,-24.0,2719.6381870461837
large,no_route_arc_tokens,7,-24.0,2219.327582549562
large,no_route_arc_tokens,8,-24.0,2834.891760805434
large,no_route_arc_tokens,9,-24.0,3022.787667959525
large,no_route_arc_tokens,10,-24.0,2267.120127219017
large,no_route_arc_tokens,11,-24.0,2336.1460143222125
large,no_route_arc_tokens,12,-24.0,2777.374518092628
large,no_route_arc_tokens,13,-24.0,2319.7913940375606
large,no_route_arc_tokens,14,-24.0,3647.2774762112404
large,no_route_arc_tokens,15,-24.0,2158.764780022969
large,no_route_arc_tokens,16,-24.0,2062.9745216017604
large,no_route_arc_tokens,17,-24.0,3440.8104509490313
large,no_route_arc_tokens,18,-24.0,2766.0081482991745
large,no_route_arc_tokens,19,-24.0,2191.3035133613257
