preference,variant,model_name,cost,risk,normalized_cost,normalized_risk,weighted_objective_normalized,gap_to_best_percent,runtime_seconds,train_time_seconds,feasible,violation_count
0.00_1.00,no_preference_token,去除偏好token,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,1.9329760000109677,630.3148017999483,True,0
0.00_1.00,hybrid_transformer_fc,Transformer+全局FC融合,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.0450207999674603,611.208537700004,True,0
0.00_1.00,full_transformer,完整Transformer（偏好+路径弧token）,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.0974236000329256,605.9162212999072,True,0
0.00_1.00,no_route_arc_tokens,去除路径弧token,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.11474420002196,560.9006071999902,True,0
0.25_0.75,no_route_arc_tokens,去除路径弧token,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,1.92759970005136,560.9006071999902,True,0
0.25_0.75,full_transformer,完整Transformer（偏好+路径弧token）,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.059703499893658,605.9162212999072,True,0
0.25_0.75,hybrid_transformer_fc,Transformer+全局FC融合,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.1062511999625717,611.208537700004,True,0
0.25_0.75,no_preference_token,去除偏好token,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.144448100007139,630.3148017999483,True,0
0.50_0.50,no_preference_token,去除偏好token,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,1.9217811999842525,630.3148017999483,True,0
0.50_0.50,no_route_arc_tokens,去除路径弧token,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.0119310000445694,560.9006071999902,True,0
0.50_0.50,hybrid_transformer_fc,Transformer+全局FC融合,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.0123577000340447,611.208537700004,True,0
0.50_0.50,full_transformer,完整Transformer（偏好+路径弧token）,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.13212600001134,605.9162212999072,True,0
0.75_0.25,full_transformer,完整Transformer（偏好+路径弧token）,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,1.96318419999443,605.9162212999072,True,0
0.75_0.25,no_route_arc_tokens,去除路径弧token,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.083918500109576,560.9006071999902,True,0
0.75_0.25,no_preference_token,去除偏好token,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.1157614999683574,630.3148017999483,True,0
0.75_0.25,hybrid_transformer_fc,Transformer+全局FC融合,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.191567200003192,611.208537700004,True,0
1.00_0.00,full_transformer,完整Transformer（偏好+路径弧token）,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.0639943999703974,605.9162212999072,True,0
1.00_0.00,hybrid_transformer_fc,Transformer+全局FC融合,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.156781499972567,611.208537700004,True,0
1.00_0.00,no_preference_token,去除偏好token,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.288215999957174,630.3148017999483,True,0
1.00_0.00,no_route_arc_tokens,去除路径弧token,30261.408023000007,2053.8653122673177,1.0,1.0,1.0,0.0,2.342250299989246,560.9006071999902,True,0
