scale,variant,model_name,method,preference,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,runtime_seconds,train_time_seconds,feasible,violation_count,gap_to_best_percent
large,heuristic,贪心初始解,Heuristic,0.00_1.00,30261.408023000007,2053.8653122673177,1.0,1.0,2053.8653122673177,1.0,0.0,,True,0,
large,no_preference_token,去除偏好token,PPO,0.00_1.00,26560.302523000002,961.7301745882507,0.8776955289989481,0.4682537695359248,961.7301745882507,0.4682537695359248,5.146574100013822,630.3148017999483,True,0,0.0
large,full_transformer,完整Transformer（偏好+路径弧token）,PPO,0.00_1.00,26598.25680300001,1016.1891746628113,0.8789497429460044,0.49476914021251595,1016.1891746628113,0.49476914021251595,5.227198100066744,605.9162212999072,True,0,5.6626069882726
large,hybrid_transformer_fc,Transformer+全局FC融合,PPO,0.00_1.00,26952.683222999996,1060.730739136947,0.8906619018690328,0.5164558419685162,1060.730739136947,0.5164558419685162,6.041398699977435,611.208537700004,True,0,10.294006277912803
large,no_route_arc_tokens,去除路径弧token,PPO,0.00_1.00,28282.371963,1099.2785802263609,0.9346019835397001,0.5352242786616019,1099.2785802263609,0.5352242786616019,5.782217999920249,560.9006071999902,True,0,14.302182594717824
large,heuristic,贪心初始解,Heuristic,0.25_0.75,30261.408023000007,2053.8653122673177,1.0,1.0,9105.75098995049,1.0,0.0,,True,0,
large,hybrid_transformer_fc,Transformer+全局FC融合,PPO,0.25_0.75,22900.726262999997,974.0645724314517,0.7567634078888343,0.4742592255750964,6455.729995073588,0.5448852711535309,5.716495700064115,611.208537700004,True,0,0.0
large,no_preference_token,去除偏好token,PPO,0.25_0.75,24702.895523000003,962.9783859392618,0.8163167921408254,0.4688615072213298,6897.957670204447,0.5557253284512037,5.527289999998175,630.3148017999483,True,0,1.989420135127568
large,full_transformer,完整Transformer（偏好+路径弧token）,PPO,0.25_0.75,24353.21152299999,1003.7022384042373,0.8047613483315276,0.48868941522568643,6841.079559553175,0.5677073985021467,5.337184399948455,605.9162212999072,True,0,4.1884280153693565
large,no_route_arc_tokens,去除路径弧token,PPO,0.25_0.75,26943.507522999993,966.0421904215076,0.8903586872931272,0.47035323331648626,7460.408523566129,0.5753545968106465,5.74077099992428,560.9006071999902,True,0,5.591879111103797
large,heuristic,贪心初始解,Heuristic,0.50_0.50,30261.408023000007,2053.8653122673177,1.0,1.0,16157.636667633662,1.0,0.0,,True,0,
large,hybrid_transformer_fc,Transformer+全局FC融合,PPO,0.50_0.50,23014.513822999998,1074.104158792377,0.760523562073118,0.5229671840587463,12044.308990896187,0.6417453730659322,6.065360700013116,611.208537700004,True,0,0.0
large,no_preference_token,去除偏好token,PPO,0.50_0.50,24122.554383,1063.75480968481,0.797139193413135,0.5179282221337592,12593.154596342405,0.6575337077734471,5.24842110008467,630.3148017999483,True,0,2.4602179260111123
large,full_transformer,完整Transformer（偏好+路径弧token）,PPO,0.50_0.50,24937.293523000008,1021.1985586930144,0.8240625652331366,0.4972081433936316,12979.24604084651,0.660635354313384,5.052795900031924,605.9162212999072,True,0,2.943532129761247
large,no_route_arc_tokens,去除路径弧token,PPO,0.50_0.50,24492.611203000008,1150.3632442014161,0.8093678649844892,0.5600967294839304,12821.487223600712,0.6847322972342098,6.175757699995302,560.9006071999902,True,0,6.69843928331077
large,heuristic,贪心初始解,Heuristic,0.75_0.25,30261.408023000007,2053.8653122673177,1.0,1.0,23209.522345316833,1.0,0.0,,True,0,
large,full_transformer,完整Transformer（偏好+路径弧token）,PPO,0.75_0.25,21056.764763,1007.0102399351713,0.6958289828085966,0.4903000376512057,16044.326132233793,0.6444467465192488,5.864927500020713,605.9162212999072,True,0,0.0
large,hybrid_transformer_fc,Transformer+全局FC融合,PPO,0.75_0.25,22286.857243000002,1166.9277979423885,0.7364778673239859,0.5681617927780207,17006.8748817356,0.6943988486874946,6.11909699998796,611.208537700004,True,0,7.7511605789065365
large,no_preference_token,去除偏好token,PPO,0.75_0.25,22876.831283000007,1160.9915177261432,0.7559737889794356,0.5652714960381181,17447.87134168154,0.7082982157441062,5.380040099960752,630.3148017999483,True,0,9.907951210822079
large,no_route_arc_tokens,去除路径弧token,PPO,0.75_0.25,24139.778983000004,1276.3284793694402,0.797708387020614,0.6214275452952981,18423.916357092363,0.753638176589285,6.2461415999569,560.9006071999902,True,0,16.9434372443953
large,heuristic,贪心初始解,Heuristic,1.00_0.00,30261.408023000007,2053.8653122673177,1.0,1.0,30261.408023000007,1.0,0.0,,True,0,
large,hybrid_transformer_fc,Transformer+全局FC融合,PPO,1.00_0.00,21796.942543,1345.4237008689622,0.7202884454825552,0.6550690996303513,21796.942543,0.7202884454825552,6.112346400041133,611.208537700004,True,0,0.0
large,no_preference_token,去除偏好token,PPO,1.00_0.00,22470.854363000002,1398.713441489774,0.7425581237304345,0.6810151732616274,22470.854363000002,0.7425581237304345,6.032348399981856,630.3148017999483,True,0,3.0917722459034835
large,no_route_arc_tokens,去除路径弧token,PPO,1.00_0.00,22547.188523,1376.0383312506497,0.7450806157421076,0.6699749603987437,22547.188523,0.7450806157421076,6.308321400079876,560.9006071999902,True,0,3.4419780596290055
large,full_transformer,完整Transformer（偏好+路径弧token）,PPO,1.00_0.00,23165.130683000003,1491.1268411951592,0.7655007548027336,0.7260100417924016,23165.130683000003,0.7655007548027336,6.422800299944356,605.9162212999072,True,0,6.276972732762433
