variant,scale,index,weighted_objective_normalized,seconds
GA,Test-1,0,0.6680959541315226,0.8626597200054675
GA,Test-1,1,0.7523503786914246,0.8597728199791164
GA,Test-1,2,0.7212520045856158,0.8710130399946744
GA,Test-1,3,0.7564818368572732,0.8185371000086888
GA,Test-1,4,0.8487433868539688,0.8502828466705978
GA,Test-1,5,0.8164687408081296,0.8310121400048956
GA,Test-1,6,0.6561725634320387,0.8679057666876664
GA,Test-1,7,0.7160065517286072,0.8805100600079945
GA,Test-1,8,0.7655751883496089,0.8108189333152647
GA,Test-1,9,0.6030631936176909,0.8350804600243767
GA,Test-2,0,0.7996420550170248,2.229309359999994
GA,Test-2,1,0.5241812305536568,2.1395108200066413
GA,Test-2,2,0.7785071360603165,2.180121160011428
GA,Test-2,3,0.7730559903433625,2.180203560025742
GA,Test-2,4,0.7241510163656159,2.1623341533277807
GA,Test-2,5,0.7537832985614338,2.204798180012343
GA,Test-2,6,0.7776644025571287,2.0741941533517094
GA,Test-2,7,0.5938644027245226,2.179213033360429
GA,Test-2,8,0.6216831908500181,2.2545070266583935
GA,Test-2,9,0.6586150227226115,2.1543544400095316
GA,Test-3,0,0.7729342386602016,2.7886890733459344
GA,Test-3,1,0.6325922926806925,2.819600486662239
GA,Test-3,2,0.6929068926101701,2.736174086683119
GA,Test-3,3,0.6569757675170823,2.7030381999987485
GA,Test-3,4,0.6540233036830088,2.7006801999950163
GA,Test-3,5,0.6825302624937253,2.8021639466751367
GA,Test-3,6,0.6677534670040386,2.7027331533220904
GA,Test-3,7,0.7455958828906237,2.740675220025393
GA,Test-3,8,0.6924351558011009,2.8289876200025903
GA,Test-3,9,0.7433633517589349,2.69607424667726
GA,Test-4,0,0.7593000391190287,13.6135321133382
GA,Test-4,1,0.6857043479000453,13.96283531334872
GA,Test-4,2,0.7210389338701694,13.695931060022366
GA,Test-4,3,0.7336534206203367,13.857562553339326
GA,Test-4,4,0.7223241839053002,13.684110460011288
GA,Test-4,5,0.7372658355966575,13.519907866666713
GA,Test-4,6,0.7834705821845116,13.509133840010813
GA,Test-4,7,0.7343109285507845,13.53071733333636
GA,Test-4,8,0.7108480711133817,13.450258253344023
GA,Test-4,9,0.7759041384835139,12.800858360001197
New-L,Test-1,0,0.5888029678111265,1.6789501266709217
New-L,Test-1,1,0.572298756609583,1.5780737733313193
New-L,Test-1,2,0.6219713301552094,1.5434355199957888
New-L,Test-1,3,0.6348975987122687,1.480033400002867
New-L,Test-1,4,0.6533469412552504,1.5202961000070596
New-L,Test-1,5,0.6713205663854358,1.5660125133348628
New-L,Test-1,6,0.5530292143991566,1.6068293466698378
New-L,Test-1,7,0.6340720375993765,1.577353939996101
New-L,Test-1,8,0.6109532398953383,1.545753000001423
New-L,Test-1,9,0.4803282225144895,1.5051032066655654
New-L,Test-2,0,0.603047312683813,2.6704761866712943
New-L,Test-2,1,0.4104774522577002,2.6706386466743424
New-L,Test-2,2,0.5957845776465903,2.5505485999863593
New-L,Test-2,3,0.6119086234226481,2.6682869733311234
New-L,Test-2,4,0.535293966226046,2.6057830000063404
New-L,Test-2,5,0.541326924462058,2.584108873340301
New-L,Test-2,6,0.6147204043881221,2.5650166466521718
New-L,Test-2,7,0.44189957219380294,2.561447300009119
New-L,Test-2,8,0.48649208237370434,2.6028927133496227
New-L,Test-2,9,0.48822101772838433,2.512114940017151
New-L,Test-3,0,0.5488817318391435,5.470941453318422
New-L,Test-3,1,0.47398319502337205,5.548012760002166
New-L,Test-3,2,0.5272446049763025,5.405777380033396
New-L,Test-3,3,0.4789969142302851,5.421067479974591
New-L,Test-3,4,0.4788289947334433,5.391039613347191
New-L,Test-3,5,0.5134369248624526,5.410678659961559
New-L,Test-3,6,0.4689594696696485,5.4697155599948015
New-L,Test-3,7,0.5411763669019202,5.450192393315956
New-L,Test-3,8,0.5352802519861581,5.351340099998439
New-L,Test-3,9,0.5590807941866454,5.460095126663024
New-L,Test-4,0,0.519670598047368,22.20630824667557
New-L,Test-4,1,0.5014486706415779,22.03569054667993
New-L,Test-4,2,0.5277347950374169,22.06888839333939
New-L,Test-4,3,0.5223713286371428,22.50527026001364
New-L,Test-4,4,0.510981526765464,22.42385216666541
New-L,Test-4,5,0.5407159852036102,22.146709839991914
New-L,Test-4,6,0.5903172011183119,21.846622439993858
New-L,Test-4,7,0.547359906861817,21.975971919996663
New-L,Test-4,8,0.5351475693077982,21.526856813331445
New-L,Test-4,9,0.5806491690670799,21.069937553342122
New-S,Test-1,0,0.5908627953194507,1.564670373344173
New-S,Test-1,1,0.5663653436287445,1.61092809997499
New-S,Test-1,2,0.6111516264203114,1.5602585599912953
New-S,Test-1,3,0.6329165838569385,1.561570253347357
New-S,Test-1,4,0.6529919292281475,1.53918588666711
New-S,Test-1,5,0.6759852671547062,1.578036173308889
New-S,Test-1,6,0.5519906918825813,1.4927706533344463
New-S,Test-1,7,0.6213733046356765,1.6414805933522678
New-S,Test-1,8,0.6102380613040603,1.573664433353891
New-S,Test-1,9,0.4795735406704085,1.5342881000057482
New-S,Test-2,0,0.613855775347876,2.5845089666700614
New-S,Test-2,1,0.4110112932010764,2.5915401133631044
New-S,Test-2,2,0.5875288654728635,2.4897024400299417
New-S,Test-2,3,0.5971998781204697,2.6226026733250665
New-S,Test-2,4,0.5332752442737496,2.560922653352221
New-S,Test-2,5,0.5490201561200833,2.576580166645969
New-S,Test-2,6,0.612691511968436,2.5825525999845316
New-S,Test-2,7,0.4480057469919947,2.534328533313237
New-S,Test-2,8,0.4878468379029076,2.588140806656641
New-S,Test-2,9,0.4953110893673207,2.531636680010706
New-S,Test-3,0,0.5419705960066203,5.375227999982114
New-S,Test-3,1,0.4770699552654671,5.508211260001795
New-S,Test-3,2,0.5098255691228869,5.359370473314387
New-S,Test-3,3,0.48497614333286476,5.338085266645066
New-S,Test-3,4,0.48826500279408247,5.323415746664008
New-S,Test-3,5,0.5101892158680659,5.3533213866796965
New-S,Test-3,6,0.4682975681352253,5.416639886664536
New-S,Test-3,7,0.5437632413498219,5.296521626668982
New-S,Test-3,8,0.5348409328899677,5.2094201333432775
New-S,Test-3,9,0.5624931827054873,5.1859775266532475
New-S,Test-4,0,0.5348817629766762,21.41231410666369
New-S,Test-4,1,0.5094782750497701,21.47190184001035
New-S,Test-4,2,0.5447107648657636,21.874045146706827
New-S,Test-4,3,0.5326193840166293,22.082828813348897
New-S,Test-4,4,0.5110055404227231,22.114421613320395
New-S,Test-4,5,0.5437288387442114,21.39680569334887
New-S,Test-4,6,0.5979670056697648,21.27506531334948
New-S,Test-4,7,0.5488695142909401,21.189664613315834
New-S,Test-4,8,0.5489749119823463,21.270787873344187
New-S,Test-4,9,0.5865053163767687,21.113243359979244
Old-L,Test-1,0,0.5908980427244436,1.6246592266640316
Old-L,Test-1,1,0.5754041508628382,1.642489613344272
Old-L,Test-1,2,0.6247872011242604,1.5358902933386465
Old-L,Test-1,3,0.6420083644343433,1.5398610666782284
Old-L,Test-1,4,0.6513097027632923,1.575141919994106
Old-L,Test-1,5,0.6769343983731453,1.5812469333332655
Old-L,Test-1,6,0.550607467481729,1.6047701133337493
Old-L,Test-1,7,0.6326048161652071,1.6310059866867959
Old-L,Test-1,8,0.6248957480037642,1.5721237666672097
Old-L,Test-1,9,0.4853986161113066,1.5315810333238915
Old-L,Test-2,0,0.5994671606465073,2.7119182066681486
Old-L,Test-2,1,0.4107315335417234,2.5560620599814383
Old-L,Test-2,2,0.6011596984908094,2.6322110266424716
Old-L,Test-2,3,0.6207340771601136,2.682202706672251
Old-L,Test-2,4,0.5327982023743243,2.6397555133327844
Old-L,Test-2,5,0.5865783586191217,2.5693719066679477
Old-L,Test-2,6,0.6221762494729222,2.5167595266752563
Old-L,Test-2,7,0.4516028670578791,2.58703440000924
Old-L,Test-2,8,0.4937241318642608,2.572281619991797
Old-L,Test-2,9,0.50762664893434,2.508464279972638
Old-L,Test-3,0,0.5720959442481152,5.630823686656852
Old-L,Test-3,1,0.4648014866538751,5.704219893311771
Old-L,Test-3,2,0.5398729377901124,5.629783613312368
Old-L,Test-3,3,0.4839287874835129,5.616357793333009
Old-L,Test-3,4,0.477890132613705,5.444536066668419
Old-L,Test-3,5,0.5121617608036224,5.621242019999772
Old-L,Test-3,6,0.47029841569378716,5.54541419999053
Old-L,Test-3,7,0.5445047896468328,5.575573233320998
Old-L,Test-3,8,0.5366654101547522,5.475443246681243
Old-L,Test-3,9,0.5824984618903887,5.4923471600205325
Old-L,Test-4,0,0.5282484594217669,22.579825279985865
Old-L,Test-4,1,0.5148253887325311,22.75268003332118
Old-L,Test-4,2,0.5385126318990254,22.792241739993916
Old-L,Test-4,3,0.5299641874950897,23.03658279334195
Old-L,Test-4,4,0.5182414608097832,22.903298073347347
Old-L,Test-4,5,0.54676059014791,22.581570393312724
Old-L,Test-4,6,0.5971394901508102,22.299565213328847
Old-L,Test-4,7,0.5441971917814393,22.579487060002673
Old-L,Test-4,8,0.5436988418195141,22.174275846670692
Old-L,Test-4,9,0.5762766458023382,21.082848666670422
Old-S,Test-1,0,0.5903025438455551,1.5495726733468473
Old-S,Test-1,1,0.5668654038965283,1.5546280666875343
Old-S,Test-1,2,0.6130280253731479,1.5047233800170943
Old-S,Test-1,3,0.6366013472226041,1.4619838000352803
Old-S,Test-1,4,0.6525996028400713,1.5162214066445208
Old-S,Test-1,5,0.6800768010107631,1.5286562733352185
Old-S,Test-1,6,0.5517120433149811,1.5339717399949828
Old-S,Test-1,7,0.6290507516495706,1.6129246399893116
Old-S,Test-1,8,0.6018149718674406,1.4933870333246886
Old-S,Test-1,9,0.4804221885696068,1.4808019866778825
Old-S,Test-2,0,0.6138610279033436,2.7078270400175826
Old-S,Test-2,1,0.4095879985531172,2.559548306659175
Old-S,Test-2,2,0.5974910081933706,2.5203988399977484
Old-S,Test-2,3,0.6100520361668206,2.5169989399999997
Old-S,Test-2,4,0.5457039052550163,2.4645951266633346
Old-S,Test-2,5,0.5487794284251069,2.5408079733373596
Old-S,Test-2,6,0.6175486025727207,2.4618726866319776
Old-S,Test-2,7,0.4360555209685481,2.455327886653443
Old-S,Test-2,8,0.48080192767582225,2.5273082999900605
Old-S,Test-2,9,0.4760583945540377,2.481552233329664
Old-S,Test-3,0,0.5566730019331205,5.408321113310134
Old-S,Test-3,1,0.47185207195428136,5.436097133345902
Old-S,Test-3,2,0.5333075828676938,5.146155906670417
Old-S,Test-3,3,0.49478624844002617,5.191251920008411
Old-S,Test-3,4,0.48949440451827175,5.246769173334663
Old-S,Test-3,5,0.5138812804406381,5.235667286650278
Old-S,Test-3,6,0.4628821333706442,5.300120006687939
Old-S,Test-3,7,0.5475701977971883,5.316916039981879
Old-S,Test-3,8,0.5450827216779417,5.219901359981547
Old-S,Test-3,9,0.5571982373382155,5.139778719997654
Old-S,Test-4,0,0.5246750612849012,20.962292620011915
Old-S,Test-4,1,0.4983322384097316,20.935986839987645
Old-S,Test-4,2,0.5379461732907251,21.18768503999648
Old-S,Test-4,3,0.5223232776969541,21.66282228665271
Old-S,Test-4,4,0.5024661308720373,21.47431654668568
Old-S,Test-4,5,0.5436631731427661,20.788933579980707
Old-S,Test-4,6,0.5925670932357143,20.445599033349815
Old-S,Test-4,7,0.5425917596183473,20.657354420012172
Old-S,Test-4,8,0.5437053683150612,20.413091500002583
Old-S,Test-4,9,0.5836161610587045,19.745694266671002
