,,weighted_objective_normalized,weighted_objective_normalized,weighted_objective_normalized,seconds,seconds,seconds
,,mean,std,count,mean,std,count
variant,scale,,,,,,
GA,Test-1,0.7304209799055881,0.0743186697589794,10,0.8487592886698743,0.02366829227288009,10
GA,Test-2,0.7005147745755691,0.09484335342222135,10,2.1758545886763994,0.04969967425209728,10
GA,Test-3,0.6941110615099578,0.04581761168650992,10,2.7518816233387526,0.0530449399841579,10
GA,Test-4,0.736382048134373,0.02975889033475581,10,13.5624847153419,0.31285351058036315,10
New-L,Test-1,0.6021020875337235,0.056065548946054374,10,1.5601840926675747,0.05624137068702239,10
New-L,Test-2,0.5329171933382869,0.07401731196736128,10,2.5991313880037827,0.055563763527531056,10
New-L,Test-3,0.5125869248409372,0.03446156593713404,10,5.4378860526609545,0.054382617697972056,10
New-L,Test-4,0.5376396750687586,0.02869273612795063,10,21.980610818002994,0.4235141662366715,10
New-S,Test-1,0.5993449144101025,0.05614397634920224,10,1.5656853126680166,0.040906410866111666,10
New-S,Test-2,0.5335746398766777,0.07133751056454002,10,2.5662515633351477,0.03815941634959668,10
New-S,Test-3,0.512169140747049,0.03233467409853122,10,5.3366191306617115,0.09356588913626279,10
New-S,Test-4,0.5458741314395594,0.028335492253856703,10,21.520107837338777,0.36836271611895854,10
Old-L,Test-1,0.605484850804433,0.056345790115716735,10,1.5838769953364196,0.04076033464827785,10
Old-L,Test-2,0.5426598928162002,0.07484229163434986,10,2.5976061246613975,0.06745905518847245,10
Old-L,Test-3,0.5184718126978705,0.042846989398588706,10,5.573574091329549,0.0825182091566119,10
Old-L,Test-4,0.5437864888060208,0.025522905620919686,10,22.478237509997562,0.5546789893087137,10
Old-S,Test-1,0.6002473679590269,0.057113484095751774,10,1.523687100005336,0.043077571940297335,10
Old-S,Test-2,0.5335939850267903,0.07802112900062917,10,2.5236237333280345,0.07402439318836469,10
Old-S,Test-3,0.5172727880338022,0.03559810948749711,10,5.264097865996883,0.1012178329760355,10
Old-S,Test-4,0.5391886436924943,0.030531375056794752,10,20.82737761333507,0.557188359410396,10
